Drug	Disease
DB00240	C0033775
DB00396	C0014173
DB09198	C0011860
DB09077	C0027819
DB09555	C0018621
DB00415	C0013369
DB09488	C0027424
DB01059	C0339933
DB01190	C0040558
DB00008	C1540912
DB01416	C0271429
DB09350	C0030759
DB01165	C0029888
DB00733	C0700359
DB09050	C0042029
DB00443	C0011606
DB01270	C0730285
DB08913	C0376358
DB01263	C0008582
DB00334	C0005586
DB01060	C0001261
DB01139	C0149725
DB00327	C0030193
DB00479	C0456107
DB00570	C0039590
DB00443	C0021390
DB00322	C0038356
DB06212	C0021141
DB00781	C0009768
DB00422	C1263846
DB00563	C1458155
DB01234	C0406326
DB01332	C0243026
DB00741	C0009324
DB01211	C0276026
DB00514	C0009443
DB00035	C0019069
DB00719	C0018621
DB00734	C0040517
DB00456	C1279247
DB00959	C0011606
DB01234	C0036830
DB00987	C0948840
DB00759	C0178299
DB01211	C0038160
DB08874	C0343386
DB00230	C0740447
DB06674	C0038013
DB08933	C0040259
DB00398	C2239176
DB01185	C0342527
DB00958	C0919267
DB00730	C0041648
DB00857	C0040250
DB00741	C0019112
DB00281	C0042510
DB00749	C0003873
DB00648	C0686510
DB01066	C0018482
DB01110	C0040259
DB00570	C0018671
DB01329	C0022729
DB00618	C0149966
DB00630	C0029458
DB00218	C0032302
DB01039	C0020476
DB00663	C0406317
DB00671	C0729586
DB00397	C0035455
DB00443	C0033860
DB00727	C0027051
DB00537	C0149725
DB00547	C0033777
DB00825	C0038048
DB01185	C0020619
DB01044	C0036117
DB00254	C0007947
DB09154	C0017168
DB00591	C0406326
DB00181	C0026769
DB00515	C1336708
DB06820	C1384589
DB01035	C0151636
DB00788	C0003873
DB00887	C0018802
DB01224	C0005586
DB01256	C0342985
DB00304	C0025345
DB00355	C0014347
DB01356	C0038436
DB00290	C0007847
DB01156	C1263846
DB00907	C0030193
DB01005	C0025202
DB00741	C0023449
DB00366	C1260880
DB01172	C0684256
DB00567	C0005660
DB00620	C0014488
DB00194	C0019357
DB00906	C0014547
DB01109	C0010072
DB00254	C0153196
DB00997	C0006413
DB00988	C0242422
DB00472	C0006370
DB00479	C0276089
DB08797	C0030193
DB00287	C0028840
DB00760	C0025294
DB01380	C0010032
DB00741	C0036202
DB01118	C0039240
DB01246	C0002994
DB00596	C0033774
DB01597	C0343402
DB00186	C0014553
DB07615	C0022548
DB00472	C0005587
DB00446	C0035585
DB00782	C0005686
DB01119	C0042510
DB00618	C1318973
DB00737	C0026603
DB01410	C0018621
DB00618	C0043167
DB01212	C2242472
DB06769	C0024301
DB00087	C0751967
DB01114	C0343065
DB08941	C0042373
DB00201	C0003862
DB00586	C0029408
DB00809	C0026961
DB00635	C0023052
DB00860	C0024141
DB00594	C0010674
DB00796	C0011881
DB01598	C0149725
DB01332	C0153195
DB01177	C1961102
DB01131	C0024535
DB00196	C0006848
DB00567	C0162627
DB09321	C0040252
DB00319	C0004626
DB00887	C0034063
DB01130	C0036271
DB00252	C2711653
DB00288	C0011615
DB01609	C0005283
DB01380	C0002875
DB00663	C0033777
DB01212	C0149725
DB00218	C0042029
DB01436	C0020502
DB00279	C0238298
DB00956	C2607914
DB00575	C0017601
DB00177	C0020538
DB00902	C2607914
DB00343	C0004238
DB01176	C1260880
DB00681	C0085438
DB01606	C0003615
DB00585	C0042109
DB00350	C0020538
DB00022	C0011226
DB01165	C0749955
DB00605	C0038013
DB01156	C0028754
DB00199	C0023241
DB00595	C0149966
DB00906	C0005586
DB00224	C0001175
DB08799	C0033774
DB09345	C0033774
DB02703	C0041351
DB00563	C0026948
DB01332	C0577708
DB01150	C0271429
DB00860	C0085074
DB01188	C0423775
DB00397	C0027424
DB00833	C0162627
DB01050	C0038013
DB01075	C0026603
DB00477	C0027497
DB01176	C0027424
DB00115	C0151482
DB01167	C1274469
DB09031	C0023283
DB00833	C0041912
DB00107	C0000810
DB00246	C0270425
DB01320	C0038220
DB00595	C0006309
DB00397	C2607914
DB01130	C0033774
DB09462	C0009806
DB00695	C0027726
DB00685	C0339959
DB08936	C0037383
DB01060	C0005660
DB00258	C1704431
DB00322	C0345904
DB00421	C0013604
DB01326	C1318973
DB02703	C0259799
DB01165	C0243001
DB01240	C2607914
DB00405	C0037199
DB05336	C0155866
DB01053	C0264515
DB01364	C0009443
DB00993	C0010346
DB09321	C0034886
DB00685	C0269398
DB00201	C0013390
DB00950	C0035457
DB04571	C0042900
DB06711	C0035455
DB00162	C0687148
DB04908	C0020594
DB00857	C0040261
DB00201	C0004604
DB00443	C2607914
DB00588	C0015230
DB01064	C0020683
DB00635	C0023449
DB02703	C1997322
DB00405	C0343065
DB00711	C0013882
DB01061	C0178299
DB01234	C0006413
DB00627	C0020557
DB00033	C0040034
DB00524	C0020538
DB01598	C0276089
DB00681	C0153195
DB00741	C0849907
DB01137	C0003175
DB01331	C0005943
DB04572	C1261473
DB01764	C0038166
DB00104	C0030297
DB00587	C0006266
DB00493	C0085394
DB00818	C0085631
DB00942	C0030567
DB00607	C0520767
DB11596	C0568062
DB00454	C0030193
DB01080	C2711653
DB00681	C0006846
DB00635	C0026857
DB00181	C0037930
DB09324	C0014347
DB00404	C0270549
DB00997	C0026764
DB01333	C0343402
DB00668	C0004096
DB01326	C0276089
DB00326	C0020598
DB00181	C0040997
DB01397	C0029408
DB00333	C0030200
DB00537	C0013369
DB01190	C0004669
DB01026	C0040262
DB00715	C0028768
DB04843	C0030920
DB00535	C0037199
DB00919	C0153195
DB00299	C0019360
DB00806	C0040053
DB00977	C0520676
DB01332	C0275665
DB00681	C0153254
DB00635	C0014742
DB00685	C0341834
DB00715	C0270549
DB00020	C0024305
DB00770	C0034089
DB01332	C0152973
DB00860	C0039520
DB00375	C0020473
DB00518	C0017536
DB01326	C0157749
DB08941	C0007820
DB00734	C0270425
DB00633	C0030193
DB00332	C1260880
DB00423	C0026821
DB00983	C0155880
DB00570	C0019829
DB00341	C0018621
DB01037	C0036341
DB00318	C2607914
DB01597	C0744130
DB00863	C0018834
DB09321	C0033774
DB01041	C0014742
DB00835	C0018621
DB00531	C0027819
DB00792	C0042109
DB00978	C0022729
DB01165	C0275652
DB06691	C0033774
DB00860	C0010346
DB01413	C0577709
DB00966	C0038454
DB01112	C0684256
DB09321	C0006846
DB00027	C0005743
DB02703	C0684256
DB01380	C0033777
DB00224	C0019693
DB00595	C0035021
DB06800	C0267511
DB01234	C0021390
DB00835	C0042109
DB01101	C0009404
DB01364	C0020649
DB00627	C1510471
DB00563	C0278996
DB00759	C0275652
DB01577	C0027404
DB01164	C0151940
DB00334	C0005587
DB01065	C0021603
DB00432	C0007102
DB00825	C0037274
DB01265	C0524909
DB01194	C0028840
DB00586	C0030193
DB08909	C0154246
DB00804	C0022104
DB01601	C0001175
DB01109	C0564750
DB01075	C0021603
DB00234	C1269683
DB08874	C0009062
DB01260	C0406326
DB00887	C0022661
DB00793	C0040259
DB00332	C0006277
DB00266	C0007780
DB00104	C0011991
DB00537	C0158371
DB00006	C0002965
DB00415	C0032308
DB00986	C0000771
DB00486	C0042963
DB00440	C0856695
DB00794	C0238111
DB00398	C0007134
DB00215	C0011581
DB00809	C0022568
DB08880	C0003873
DB01018	C0020538
DB01165	C0010043
DB01015	C0006277
DB00376	C0242422
DB01129	C0079487
DB01127	C1384589
DB00381	C0020538
DB01607	C2887088
DB06764	C0027424
DB00355	C0178299
DB01212	C0038395
DB00916	C0040923
DB01076	C0020474
DB01356	C0338873
DB00725	C0021368
DB00563	C0038356
DB01415	C0022729
DB02703	C1318973
DB00200	C0026769
DB01119	C0021670
DB01397	C0013390
DB01136	C0020538
DB01144	C0017605
DB00153	C0029458
DB09257	C0024623
DB00828	C0042029
DB09031	C1328252
DB01332	C0018081
DB08998	C0011581
DB04932	C0019156
DB00684	C2887096
DB00976	C0032302
DB01332	C0157749
DB01143	C0034531
DB00531	C0026948
DB00620	C0002994
DB00479	C0276088
DB01250	C3697010
DB00121	C0035457
DB01070	C0035579
DB00065	C0010346
DB06691	C0042109
DB00537	C0748196
DB01165	C0748196
DB01136	C0002962
DB00596	C0033775
DB00865	C0028754
DB01156	C0028043
DB00994	C0162627
DB00399	C3898069
DB01044	C0006277
DB01045	C0162526
DB00328	C0003873
DB00218	C0014836
DB01260	C2607914
DB01332	C0032308
DB00413	C0035258
DB00537	C0339932
DB01234	C0149922
DB00820	C0242350
DB01050	C0025323
DB05016	C0013264
DB01139	C0577708
DB01248	C0678222
DB00199	C0006818
DB00986	C0037036
DB01602	C0729586
DB00438	C2887088
DB00570	C0026948
DB00668	C0349790
DB00838	C0406317
DB00713	C0007642
DB01377	C0151723
DB00564	C0035258
DB01142	C0270458
DB00765	C0031511
DB09082	C0034067
DB02703	C0038395
DB01208	C0339959
DB01420	C0342527
DB01181	C0024305
DB00939	C0003873
DB00196	C0006849
DB00187	C0042514
DB01053	C1318973
DB00620	C0003873
DB00218	C0152936
DB00709	C0019693
DB00792	C2607914
DB00518	C0086227
DB00747	C0022073
DB00959	C0040896
DB00008	C0037286
DB01185	C0010417
DB09052	C0349636
DB09076	C0024117
DB00826	C0038034
DB00355	C0276026
DB00440	C0038160
DB06290	C0524910
DB00682	C0004238
DB00575	C0600142
DB01380	C0014742
DB06774	C0004604
DB00165	C0036572
DB00973	C0020443
DB00456	C0032285
DB00681	C2960008
DB00624	C0020635
DB06283	C0150055
DB00218	C0339959
DB00196	C0085082
DB00945	C0857177
DB00851	C0860594
DB00233	C0020538
DB01332	C0149778
DB00040	C0002792
DB06691	C0009443
DB00612	C0027051
DB00201	C0392171
DB09033	C0009324
DB00462	C0035460
DB00502	C0040517
DB01165	C0856695
DB00479	C0005943
DB00860	C0039103
DB00936	C0003873
DB00994	C0729587
DB01116	C0745136
DB00549	C0004096
DB01156	C0011581
DB01415	C0006277
DB00555	C0494475
DB01551	C0009443
DB00319	C0242172
DB04837	C0035460
DB01059	C0041466
DB00479	C0035243
DB00424	C0020458
DB00873	C0339293
DB01059	C1318973
DB00675	C0018418
DB00232	C0027726
DB01050	C0029408
DB00620	C0024305
DB00936	C0475811
DB00697	C1562430
DB00571	C0020538
DB00948	C0042029
DB09291	C0401160
DB00608	C0024536
DB00934	C0013295
DB01429	C0428974
DB00512	C1997728
DB00153	C0085682
DB00982	C0023418
DB01013	C0036271
DB00576	C0577708
DB08933	C1384589
DB00535	C0014836
DB00620	C0154301
DB00936	C0029408
DB01598	C1112209
DB00684	C0339293
DB00685	C0008149
DB00890	C0156393
DB00107	C0156543
DB00916	C0017536
DB00291	C0024305
DB00567	C0033581
DB01119	C0020459
DB01082	C0007947
DB00704	C0278140
DB01068	C0013362
DB01176	C0018621
DB00388	C0035455
DB00873	C0013604
DB01151	C1263846
DB00997	C0023467
DB01059	C0018482
DB00355	C0149725
DB03904	C0151740
DB00563	C0948840
DB00535	C0018482
DB09041	C0276755
DB00846	C0149922
DB01089	C0013384
DB09287	C0235267
DB00008	C0023443
DB00479	C0745528
DB00945	C0149931
DB01332	C0341503
DB00938	C0155880
DB00717	C0221392
DB01619	C2607914
DB01165	C0729524
DB09078	C0238463
DB00768	C0018621
DB00681	C0276688
DB01059	C0157749
DB00443	C0039103
DB00936	C0030193
DB00199	C0017160
DB00833	C0729586
DB09042	C0162627
DB00254	C0041471
DB01410	C0004096
DB01211	C0029882
DB00158	C0162316
DB01224	C0033975
DB01015	C0729524
DB00033	C0524910
DB00860	C0406326
DB00417	C0275804
DB00254	C1112709
DB04890	C0009766
DB00493	C0152973
DB00107	C0032797
DB00427	C2607914
DB00295	C0030200
DB00925	C0042024
DB01036	C0005686
DB00253	C1275687
DB00595	C0029291
DB01427	C0581377
DB00930	C0020476
DB01234	C0079744
DB02703	C0001261
DB00784	C0030193
DB00199	C1278807
DB01333	C0554628
DB01041	C0004943
DB01059	C0600041
DB00948	C0032290
DB01060	C0024198
DB00635	C0003872
DB09096	C0033775
DB00798	C0456107
DB00816	C0006266
DB00264	C0042510
DB02703	C0032308
DB00531	C0039590
DB00588	C0011615
DB00199	C0007947
DB00918	C0149931
DB00440	C0162526
DB00936	C0234925
DB00303	C0269398
DB01607	C0042029
DB01059	C0042029
DB01413	C0577708
DB00240	C0033777
DB00515	C0014859
DB00635	C0014488
DB00252	C0014527
DB00571	C0018916
DB00950	C0578870
DB00390	C0036980
DB01084	C0009765
DB01330	C0577708
DB08885	C0339507
DB09357	C1444173
DB00959	C0085074
DB00988	C0020649
DB00395	C0037763
DB00303	C0004626
DB00153	C0029442
DB00741	C0002994
DB00748	C0033774
DB01225	C0027051
DB09324	C0014836
DB01211	C0079487
DB00415	C0025294
DB00206	C0033975
DB06151	C0237963
DB00834	C0025284
DB00557	C1260880
DB00887	C0022660
DB00798	C1260917
DB09041	C1274470
DB00774	C0013604
DB00838	C0018567
DB08874	C0014358
DB01146	C0009766
DB00692	C0221154
DB00563	C0585442
DB00619	C0221013
DB00794	C0270425
DB00742	C0028840
DB00825	C0011974
DB01176	C0037383
DB01331	C2887088
DB00002	C0280324
DB00978	C0038395
DB01190	C0155862
DB00567	C0038941
DB00010	C0013338
DB00806	C0024534
DB00268	C0030567
DB01333	C0577708
DB00281	C0085612
DB00603	C1458155
DB00231	C0030319
DB03856	C0041228
DB01104	C0011581
DB09320	C0039131
DB01058	C0029106
DB00415	C0013371
DB00697	C0027121
DB00512	C0027947
DB00443	C0004364
DB04946	C0036341
DB00254	C0032302
DB01165	C1278807
DB01017	C0008354
DB00838	C0033777
DB01068	C0270846
DB01095	C0020557
DB01165	C0857831
DB00742	C0010674
DB00764	C0033775
DB01212	C0014335
DB00169	C0029458
DB00153	C0020598
DB01219	C0026838
DB09302	C0020443
DB00258	C0029458
DB00685	C0275556
DB00759	C0035597
DB00455	C0035457
DB09093	C0029076
DB00448	C0079487
DB01117	C0024535
DB01409	C0034067
DB00385	C0005695
DB00783	C0025322
DB01270	C0339498
DB00640	C0030590
DB00620	C0015230
DB00715	C0038436
DB00541	C0035412
DB01105	C0028754
DB00620	C0021390
DB00741	C0006444
DB09345	C0849907
DB00835	C0392171
DB00535	C0162627
DB00852	C0027424
DB11362	C2973725
DB06824	C0406326
DB00671	C0153195
DB01260	C0011616
DB00396	C0042134
DB00858	C0423234
DB01214	C0028840
DB00911	C0085166
DB08880	C0026769
DB00387	C0015371
DB01139	C0577709
DB01137	C0009768
DB00537	C0006818
DB00339	C0041318
DB06820	C0040252
DB01627	C0038395
DB09272	C0348898
DB00244	C3697010
DB00810	C0242422
DB00570	C0024121
DB09125	C0748267
DB00531	C0019829
DB01066	C0038395
DB01260	C0021368
DB00550	C0040127
DB01394	C0023892
DB00885	C0004096
DB01137	C1318973
DB01380	C0149922
DB00231	C0917801
DB01188	C1384589
DB00102	C0043251
DB00685	C0276026
DB00544	C0278488
DB00458	C1263846
DB00254	C0026936
DB00501	C0042109
DB01061	C0155860
DB00954	C0040425
DB00741	C0154301
DB00853	C0334579
DB01220	C0348898
DB01229	C0678222
DB08885	C1282500
DB01053	C0456107
DB00917	C0156543
DB00455	C0009443
DB06786	C0085074
DB00502	C0008066
DB00319	C0149725
DB09040	C0040261
DB01326	C0014347
DB00258	C0151714
DB00415	C0155814
DB08792	C0002438
DB01598	C1263758
DB00667	C0029408
DB09125	C1959799
DB01234	C0011616
DB00620	C0406326
DB00826	C0009186
DB01113	C0232488
DB01406	C0014175
DB09320	C0043388
DB00620	C0017563
DB01380	C0009766
DB00741	C0040252
DB01059	C0155862
DB01165	C0395818
DB00316	C0030193
DB00759	C0006309
DB01188	C0040261
DB01397	C0006444
DB00273	C0234974
DB00940	C0030920
DB00949	C0085417
DB00283	C0037383
DB00465	C2215257
DB01053	C1276801
DB01085	C0043352
DB00262	C0025202
DB00339	C0041327
DB00479	C0152973
DB05829	C0020626
DB00695	C0013604
DB00829	C0026838
DB09264	C0272373
DB01200	C0001206
DB00966	C0020538
DB09303	C0342882
DB00547	C0149922
DB01062	C0150045
DB00324	C0010032
DB00959	C0015230
DB00741	C0001403
DB09555	C0009766
DB00067	C0042974
DB00620	C0701163
DB00701	C0001175
DB00508	C0027498
DB01137	C0339932
DB09029	C0406317
DB00319	C0153195
DB00705	C0001175
DB01172	C1112209
DB00557	C0038587
DB00451	C0677607
DB00158	C1623040
DB01091	C0040252
DB00798	C0745528
DB00476	C0746683
DB00959	C0345468
DB00162	C0042842
DB00490	C0270549
DB00646	C0343886
DB00747	C0027424
DB00608	C0024537
DB00525	C0153246
DB00576	C0577709
DB00485	C0029443
DB00741	C1384589
DB01086	C0040252
DB01085	C0018671
DB00153	C0221468
DB01380	C0035439
DB09345	C0029878
DB01193	C0020538
DB00362	C2062982
DB00009	C0003838
DB00665	C0033578
DB00485	C0032308
DB01137	C0032308
DB01212	C0154639
DB00850	C0338908
DB09154	C0010200
DB00627	C0020473
DB01017	C0043388
DB00621	C0018273
DB00181	C0030200
DB01006	C1458155
DB00069	C0025202
DB00591	C0025218
DB00420	C0033774
DB09041	C0276754
DB00854	C0030193
DB01620	C0037195
DB00681	C0006840
DB00595	C0035597
DB00797	C0007820
DB01167	C0153252
DB00479	C0338395
DB01066	C0006277
DB01111	C0042029
DB00860	C0003872
DB02703	C0341503
DB01140	C0014836
DB01005	C0023518
DB02703	C0009768
DB09299	C0019693
DB01206	C0025202
DB00588	C0024138
DB00443	C0026948
DB00242	C0024305
DB00620	C0033777
DB00443	C0019829
DB00501	C0018834
DB06626	C0007134
DB01003	C0016470
DB01053	C0729586
DB01044	C0339959
DB00860	C0035854
DB00420	C2607914
DB09555	C0343065
DB01399	C0015967
DB01204	C0033578
DB00681	C0153256
DB01111	C0033817
DB02703	C0008311
DB01254	C0023474
DB00493	C1692886
DB00281	C0014852
DB00851	C0206693
DB00429	C0156543
DB01150	C0856695
DB00734	C0236780
DB09321	C0015230
DB00208	C0596298
DB00537	C0015967
DB00607	C1997728
DB00713	C1997728
DB00443	C0242459
DB01069	C0018621
DB00635	C0003873
DB01598	C0038395
DB00722	C0018802
DB09560	C0221023
DB00826	C0040923
DB00684	C0033817
DB01211	C0554628
DB00596	C0079773
DB00666	C0014175
DB00781	C0029878
DB06636	C0004030
DB00987	C0025284
DB01047	C0406326
DB01150	C0022729
DB00136	C0020502
DB01212	C0860048
DB00489	C0042510
DB00988	C0022658
DB00773	C0006118
DB00133	C0041327
DB00947	C1458155
DB00822	C0001973
DB00527	C0152030
DB06590	C1318973
DB01053	C0339968
DB00209	C0150045
DB00954	C1318973
DB11574	C0524910
DB01044	C0155862
DB09320	C0003175
DB01072	C0019693
DB00773	C0149925
DB01242	C0030319
DB09118	C0751122
DB00479	C0085394
DB09481	C0426639
DB09357	C0011974
DB00766	C0014836
DB06786	C0015230
DB09213	C0030193
DB00804	C0017178
DB01044	C0748196
DB00035	C0040034
DB01436	C0342634
DB00319	C0178299
DB00213	C0014868
DB00685	C1278797
DB00860	C0026948
DB01165	C0392618
DB00415	C0025295
DB00254	C0041472
DB00997	C0079744
DB01589	C0917801
DB09320	C0275804
DB01068	C0238111
DB01050	C0003873
DB00997	C0027819
DB02703	C0275652
DB00595	C0275652
DB01165	C0007947
DB01234	C0854211
DB01127	C0040262
DB00375	C0020443
DB01166	C0021775
DB00390	C0004239
DB00874	C0392171
DB00537	C0009768
DB01053	C3665800
DB00598	C0020540
DB01240	C0027424
DB00826	C0005716
DB00231	C0011581
DB00747	C0022104
DB08872	C0035258
DB08799	C1260880
DB00983	C0034067
DB00981	C0013221
DB01067	C0011860
DB01333	C0577709
DB01413	C0014836
DB01234	C0406317
DB00207	C0007947
DB00579	C0028754
DB00319	C0276075
DB01234	C1260899
DB01139	C0032308
DB00681	C0040592
DB00773	C0019618
DB01076	C0020476
DB00564	C0036341
DB01436	C0020626
DB01053	C0153188
DB00305	C0005695
DB00537	C0949083
DB01177	C0023467
DB00558	C0021400
DB00438	C0276085
DB00330	C0041327
DB08911	C0860594
DB06287	C0334634
DB00361	C0007131
DB00670	C0030920
DB01260	C0029878
DB01115	C0002963
DB00283	C0035460
DB00420	C0343065
DB00501	C0079487
DB00724	C0022602
DB09081	C0917796
DB00915	C0015371
DB00512	C0520767
DB00052	C0041408
DB09323	C0038395
DB00355	C3163829
DB00327	C0010200
DB00607	C0042029
DB00316	C0003862
DB01356	C0003873
DB00223	C0079773
DB00620	C0016509
DB00415	C0025303
DB01137	C0026936
DB00214	C0023890
DB06777	C0008350
DB01100	C0033975
DB00936	C0393735
DB00851	C1328479
DB00227	C0020473
DB00609	C0275959
DB00755	C0036651
DB00651	C1273489
DB01437	C0917801
DB01332	C0042029
DB00834	C0006118
DB00572	C0018790
DB00682	C0040038
DB01332	C0152964
DB00959	C0011615
DB00366	C0021603
DB00049	C0740394
DB00635	C0040147
DB01060	C0035468
DB00626	C0022568
DB00347	C0014544
DB01173	C0039614
DB00564	C0014549
DB00548	C0035854
DB00274	C0149725
DB00325	C0020538
DB00405	C0392171
DB00302	C0025323
DB00033	C0026948
DB01174	C0009952
DB06770	C0152030
DB01260	C0015456
DB05109	C0023827
DB01129	C0017168
DB00671	C0006277
DB00759	C1997322
DB01211	C0040425
DB00663	C0024138
DB00460	C0600518
DB02300	C0033860
DB00850	C0040517
DB01278	C0011854
DB00759	C0079487
DB00595	C0085426
DB01164	C0020598
DB00816	C0034067
DB09068	C1269683
DB00930	C0011991
DB00220	C0001175
DB00493	C1260917
DB04845	C0278488
DB01400	C0000771
DB00618	C0032285
DB00771	C0030920
DB00826	C0019655
DB01047	C0406317
DB00987	C1704231
DB00741	C0038013
DB00912	C0011860
DB00860	C0027726
DB00619	C0392784
DB00869	C0028840
DB00602	C0040954
DB00351	C1562029
DB00344	C0011581
DB00884	C0029401
DB01059	C0243001
DB00432	C0022576
DB01307	C0011849
DB01253	C0032797
DB09555	C0035460
DB09093	C0040592
DB00476	C0740447
DB00660	C0027121
DB01620	C1260880
DB00388	C0235267
DB00175	C0342882
DB00240	C0079773
DB00717	C0600142
DB00262	C0349543
DB01106	C0009766
DB00033	C0025202
DB01620	C0042109
DB00809	C0235238
DB01188	C0040262
DB01182	C0030590
DB00043	C0578870
DB01174	C0270425
DB01015	C0040558
DB00421	C0020538
DB00319	C0155860
DB00022	C0036920
DB00260	C0017205
DB00936	C0037195
DB00557	C0003469
DB00213	C0030920
DB01212	C1096258
DB01219	C1562430
DB00455	C1260880
DB09320	C0155862
DB01212	C0085394
DB00945	C0003873
DB00493	C0036117
DB00254	C0008149
DB01216	C4083212
DB00681	C0001144
DB02703	C0007947
DB00443	C0033777
DB00860	C0024138
DB00319	C0153196
DB01204	C1458155
DB00684	C2242472
DB00838	C0036271
DB00660	C0030193
DB01017	C0149966
DB00013	C0027051
DB00595	C0729586
DB01137	C0015404
DB00620	C0042164
DB00671	C0042029
DB01606	C0276026
DB00801	C0003467
DB00620	C0004096
DB00435	C0020542
DB06219	C0178299
DB00724	C0009663
DB00668	C0017612
DB06794	C0009773
DB06767	C0027424
DB00719	C0009443
DB00620	C0002875
DB00930	C0014358
DB00592	C0086227
DB00309	C0023449
DB00455	C2607914
DB00736	C0043515
DB00313	C2711653
DB00799	C0033860
DB00760	C0025292
DB01234	C0339498
DB01114	C2607914
DB09287	C0013238
DB04842	C0036341
DB01606	C0744130
DB00091	C0013238
DB01413	C1112209
DB06715	C1260880
DB01082	C0018190
DB08819	C0017612
DB00059	C0024305
DB00104	C0032019
DB09320	C0178299
DB01167	C0006845
DB00791	C0024305
DB00318	C0393735
DB00798	C0085394
DB00313	C0014553
DB00966	C0011881
DB00532	C0014557
DB09320	C0039128
DB00860	C0014742
DB00841	C1961112
DB00176	C0011581
DB02703	C0010032
DB01212	C1260917
DB01620	C0015967
DB01142	C0030193
DB00760	C1632842
DB00479	C0338396
DB00741	C1260899
DB08936	C2607914
DB01044	C1318973
DB00860	C0003873
DB00882	C0021364
DB00282	C3898069
DB00336	C0520775
DB01212	C0024198
DB00543	C0033931
DB00355	C0036690
DB01204	C0023467
DB00515	C0004114
DB01081	C0011991
DB00252	C0494475
DB01069	C0042963
DB01185	C1562029
DB00169	C0020626
DB00443	C0024141
DB00069	C0009404
DB00956	C0030201
DB00319	C1263758
DB00578	C0749958
DB01380	C0038363
DB00741	C0010346
DB09125	C0020621
DB01272	C0342751
DB00299	C0149678
DB01086	C0040247
DB00366	C0042109
DB01093	C0282488
DB06774	C0027796
DB09323	C0014733
DB08864	C0019693
DB00288	C0085074
DB09303	C3875286
DB00458	C0030193
DB01159	C0038218
DB00292	C0085094
DB00310	C0027726
DB00334	C0236780
DB01177	C1458155
DB00997	C0278498
DB00897	C0917801
DB00713	C0038160
DB09389	C0025323
DB00443	C1761609
DB00618	C0035793
DB05265	C0030920
DB00959	C0033860
DB02703	C0006181
DB00781	C0010032
DB00960	C0027051
DB00443	C0006444
DB00455	C0578870
DB00994	C0010032
DB00559	C0011644
DB00501	C0221013
DB01059	C0038160
DB00371	C0018681
DB00394	C0004096
DB01333	C0275804
DB01005	C0033578
DB00643	C0040954
DB01070	C0020626
DB00852	C0009766
DB00969	C0011991
DB00665	C0007097
DB00618	C0040592
DB00405	C0042109
DB00467	C0042029
DB09162	C0085681
DB01197	C0264716
DB00492	C0020538
DB00602	C0003950
DB00514	C0035455
DB00207	C0729586
DB00635	C0079744
DB01017	C0031099
DB09322	C0235950
DB01015	C0028242
DB01598	C0157749
DB01070	C0085682
DB01234	C0242459
DB06779	C0002965
DB05679	C0003872
DB00415	C0022729
DB00512	C0157749
DB00847	C2931187
DB01260	C0015230
DB01607	C0343402
DB00876	C0011881
DB00878	C0006849
DB04572	C0019829
DB00218	C0014347
DB00390	C0004238
DB00013	C0034065
DB00316	C0040460
DB00254	C0036472
DB00829	C0030319
DB00493	C0456107
DB00970	C0008497
DB01331	C0343402
DB00126	C1510471
DB01082	C0749958
DB00418	C0231403
DB00351	C0476089
DB00573	C0003873
DB00309	C0242379
DB00395	C0026821
DB00618	C2062475
DB00434	C0035457
DB00607	C2887088
DB01330	C0276089
DB00112	C0153467
DB04899	C0013405
DB00578	C0033581
DB01240	C2973725
DB09320	C0039133
DB01234	C0026764
DB03255	C0033774
DB00241	C0033893
DB00273	C0014549
DB00415	C0275555
DB01275	C0020538
DB00618	C0085426
DB01181	C1336708
DB00589	C0002453
DB01041	C0007134
DB01033	C0024305
DB00828	C0577708
DB02703	C0029291
DB00199	C0014752
DB00239	C1384589
DB00860	C0015397
DB01053	C0155862
DB01115	C0002962
DB00620	C0038013
DB00819	C0149893
DB00954	C0554628
DB00981	C0017612
DB01380	C2894027
DB01597	C2242472
DB00069	C0242383
DB01268	C0238198
DB00971	C0423775
DB00959	C0006114
DB00661	C0027051
DB00764	C0033777
DB01179	C0043037
DB00781	C0042164
DB00347	C0014553
DB00207	C0341834
DB00031	C0155626
DB00440	C0005743
DB00456	C1263758
DB00026	C2316212
DB00337	C0011615
DB01356	C0149654
DB09205	C0242350
DB00759	C0035021
DB00888	C0079773
DB00787	C0162526
DB00319	C0520775
DB00852	C0037199
DB02703	C0005743
DB01212	C0729586
DB01140	C0577708
DB00327	C0009443
DB00427	C0018621
DB00996	C0349231
DB06799	C0042029
DB00457	C0080274
DB01260	C0033777
DB00959	C0011616
DB00348	C0268483
DB01060	C0729524
DB00624	C1562029
DB01597	C0684256
DB00635	C0010346
DB00199	C0339959
DB00623	C0033975
DB01155	C0519030
DB00603	C0232940
DB00646	C0700345
DB00228	C0038218
DB09296	C0524910
DB00022	C0025202
DB00245	C0000771
DB00959	C0040147
DB01086	C0033774
DB00319	C0018081
DB00181	C0007789
DB00620	C0011608
DB00601	C0554628
DB00443	C0040896
DB00514	C2607914
DB01059	C0032285
DB00182	C0028754
DB00620	C0023219
DB00791	C0023434
DB00420	C1260880
DB00850	C0035400
DB00959	C0023449
DB01377	C0029456
DB01015	C0008153
DB00715	C1269683
DB00443	C0035439
