Drug	Disease
fluvoxamine	C0028768
fluvoxamine	C0030319
foscarnet	C0010823
foscarnet	C0019342
fosfomycin	C0014836
fosfomycin	C0042029
fosinopril	C0011881
fosinopril	C0018802
fosinopril	C0020538
fosinopril	C0242698
furazolidone	C0008354
furazolidone	C0011991
furazolidone	C1527298
furazolidone	C0017536
furazolidone	C0036118
furazolidone	C0038160
furosemide	C0003962
furosemide	C0013604
furosemide	C0018802
furosemide	C0020538
furosemide	C0022660
furosemide	C0022661
furosemide	C0023890
furosemide	C0027726
furosemide	C0034063
galantamine	C0002395
ganciclovir	C0162526
ganciclovir	C0206178
gemfibrozil	C1956346
gemfibrozil	C0020443
gemfibrozil	C0020476
gemfibrozil	C0020557
gentamicin sulfate (usp)	C0005943
gentamicin sulfate (usp)	C0014118
gentamicin sulfate (usp)	C0015404
gentamicin sulfate (usp)	C0033817
gentamicin sulfate (usp)	C0035243
gentamicin sulfate (usp)	C0036690
gentamicin sulfate (usp)	C0162627
gentamicin sulfate (usp)	C0149778
gentamicin sulfate (usp)	C0038160
gentamicin sulfate (usp)	C0042029
gentian violet	C0006845
gentian violet	C0006846
gentian violet	C0700345
gentian violet	C0038166
glipizide	C0011860
glucosamine	C0029408
glyburide	C0011860
glycopyrrolate	C0000771
glycopyrrolate	C0030920
glycopyrrolate	C0035242
gonadorelin	C0002453
gonadorelin	C0034012
gonadorelin	C0034013
griseofulvin	C0040250
griseofulvin	C0040259
guanabenz	C0020538
guanethidine	C0020538
guanfacine	C0020538
haloperidol	C0008066
haloperidol	C0033975
haloperidol	C0036341
haloperidol	C0038587
haloperidol	C0040517
haloperidol	C0042963
halothane	C0038218
hexachlorophene	C0001144
hydralazine	C0018802
hydralazine	C0020540
hydralazine	C0020542
hydrochlorothiazide	C0013604
hydrochlorothiazide	C0018802
hydrochlorothiazide	C0020538
hydrochlorothiazide	C0027726
hydrocortisone	C0001627
hydrocortisone	C0001623
hydrocortisone	C0009324
hydrocortisone	C0015456
hydrocortisone	C0016509
hydrocortisone	C0018567
hydrocortisone	C0019112
hydrocortisone	C0021368
hydrocortisone	C0023219
hydrocortisone	C0033775
hydrocortisone	C0035435
hydrocortisone	C0036271
hydrocortisone	C0036974
hydrocortisone	C0162817
hydrocortisone	C0038218
hydroflumethiazide	C0013604
hydroflumethiazide	C0018802
hydroflumethiazide	C0020538
hydroflumethiazide	C0027726
hydroxocobalamin	C0085677
hydroxocobalamin	C0002892
hydroxocobalamin	C0011882
hydroxocobalamin	C0026769
hydroxychloroquine	C0003873
hydroxychloroquine	C0024141
hydroxychloroquine	C0024530
hydroxychloroquine	C0031762
hydroxychloroquine	C0162566
hydroxyzine	C0002962
hydroxyzine	C0003469
hydroxyzine	C0004096
hydroxyzine	C0027497
hydroxyzine	C0033774
hydroxyzine	C0038587
hydroxyzine	C0042963
hyoscyamine	C0000771
hyoscyamine	C0232488
hyoscyamine	C0020458
hyoscyamine	C0021890
hyoscyamine	C0022104
hyoscyamine	C0026837
hyoscyamine	C0030920
hyoscyamine	C0035455
hyoscyamine	C0037036
hyoscyamine	C0037763
hyoscyamine	C0040822
hyoscyamine	C0005697
ibuprofen	C0553662
ibuprofen	C0006444
ibuprofen	C0013390
ibuprofen	C0015967
ibuprofen	C0018099
ibuprofen	C0021368
ibuprofen	C0025323
ibuprofen	C0029408
ibuprofen	C0030201
ibuprofen	C0033046
ibuprofen	C0038013
idarubicin	C1458155
idarubicin	C0023473
idarubicin	C0023467
idarubicin	C1961102
idoxuridine	C0022570
ifosfamide	C1458155
ifosfamide	C0019829
ifosfamide	C0023434
ifosfamide	C0024121
ifosfamide	C0024305
ifosfamide	C0919267
ifosfamide	C0030297
ifosfamide	C1961102
ifosfamide	C1261473
ifosfamide	C0038356
ifosfamide	C0039590
iloprost	C0020538
imipenem	C0014121
imipenem	C0014347
imipenem	C0033817
imipenem	C0035243
imipenem	C0036690
imipenem	C0038160
imipenem	C0038395
imipenem	C0042029
imipramine	C1263846
imipramine	C0011581
imipramine	C0014394
imipramine	C0030193
imipramine	C0030319
inamrinone	C0007166
inamrinone	C0007193
inamrinone	C0018802
inamrinone	C0036980
indapamide	C0013604
indapamide	C0018802
indapamide	C0020538
indapamide	C0027726
indinavir	C0001175
indomethacin	C0003868
indomethacin	C0003873
indomethacin	C0006444
indomethacin	C0013274
indomethacin	C0021368
indomethacin	C0029408
indomethacin	C0030193
ipratropium	C0004096
ipratropium	C0006266
ipratropium	C0006277
ipratropium	C0034067
ipratropium	C0035457
ipratropium	C0035460
isocarboxazid	C0011581
isoetharine	C0004096
isoetharine	C0006266
isoflurane	C0011581
isoflurane	C0038218
isoflurophate	C0017601
isoflurophate	C0038379
isoproterenol	C0004096
isoproterenol	C0428977
isoproterenol	C0018794
isoproterenol	C0040479
isoproterenol	C0042510
isosorbide	C0002962
isosorbide	C0010068
isosorbide	C0010520
isosorbide	C0014863
isosorbide	C0017168
isosorbide	C0018802
isosorbide	C0032343
isosorbide dinitrate	C0002962
isosorbide dinitrate	C0010068
isosorbide dinitrate	C0010520
isosorbide dinitrate	C0014863
isosorbide dinitrate	C0017168
isosorbide dinitrate	C0018802
isosorbide dinitrate	C0032343
isotretinoin	C0001144
isotretinoin	C0023418
isotretinoin	C0027819
isradipine	C0002963
isradipine	C0020538
itraconazole	C0162526
itraconazole	C0004030
itraconazole	C0005716
itraconazole	C0006845
itraconazole	C0006849
itraconazole	C0700345
itraconazole	C0009186
itraconazole	C0010414
itraconazole	C0019655
itraconazole	C0023281
itraconazole	C0024116
itraconazole	C0027947
itraconazole	C0040261
itraconazole	C0030409
itraconazole	C0038034
itraconazole	C0043541
ivermectin	C0003950
ivermectin	C0013882
ivermectin	C0086227
ivermectin	C0024759
ivermectin	C0029001
ivermectin	C0036262
ivermectin	C0038463
ivermectin	C0040954
kanamycin	C0085423
kanamycin	C0019151
kanamycin	C0026918
kanamycin	C0035243
ketamine	C0030193
ketoconazole	C0000880
ketoconazole	C0005716
ketoconazole	C0006845
ketoconazole	C0006846
ketoconazole	C0006849
ketoconazole	C0700345
ketoconazole	C0009186
ketoconazole	C0036508
ketoconazole	C0019655
ketoconazole	C0023281
ketoconazole	C0030409
ketoconazole	C0040259
ketoconazole	C0040262
ketoprofen	C0003873
ketoprofen	C0013390
ketoprofen	C0029408
ketorolac	C0009766
ketorolac	C0021368
ketorolac	C0030193
ketorolac	C0085636
labetalol	C0002962
labetalol	C0018802
labetalol	C0020540
labetalol	C0027051
lactulose	C0009806
lactulose	C0019151
lamivudine	C0001175
leucovorin	C0002888
leucovorin	C0013221
leucovorin	C0016412
levamisole	C0009375
levetiracetam	C0014547
levobunolol	C0017612
levobupivacaine	C0030193
levodopa	C0030567
levofloxacin	C0006277
levofloxacin	C0008149
levofloxacin	C0014836
levofloxacin	C0015404
levofloxacin	C0018482
levofloxacin	C0022729
levofloxacin	C0023241
levofloxacin	C0024959
levofloxacin	C0026936
levofloxacin	C0004626
levofloxacin	C0033700
levofloxacin	C0033817
levofloxacin	C0034186
levofloxacin	C0036117
levofloxacin	C0162627
levofloxacin	C0149778
levofloxacin	C0038160
levofloxacin	C0038395
levofloxacin	C0041327
levofloxacin	C0042029
levomethadyl	C0027412
lidocaine	C0006434
lidocaine	C0013221
lidocaine	C0014852
lidocaine	C0026636
lidocaine	C0027051
lidocaine	C0030193
lidocaine	C0039236
lidocaine	C0042514
lidocaine	C0242973
lidocaine	C0042510
lidocaine	C0151636
lincomycin	C0038160
lincomycin	C0038395
lindane	C0030756
lindane	C0036262
lisinopril	C0011881
lisinopril	C0018802
lisinopril	C0020538
lisinopril	C0242698
lithium	C0005586
lithium	C0149654
lithium	C0011581
lithium	C0038436
lomustine	C0006118
lomustine	C0009375
lomustine	C0019829
lomustine	C0022665
lomustine	C0024121
lomustine	C0024305
lomustine	C0025202
loperamide	C0009374
loperamide	C0011991
loperamide	C1527298
loratadine	C0035457
loratadine	C0042109
lorazepam	C0003469
lorazepam	C0007398
lorazepam	C0011581
lorazepam	C0014547
lorazepam	C0033975
lorazepam	C0021603
lorazepam	C0038220
lorazepam	C0038587
lorazepam	C0042963
losartan	C0011881
losartan	C0018802
losartan	C0020538
losartan	C0242698
loteprednol	C0009766
loteprednol	C0009768
loteprednol	C0009774
loteprednol	C0013604
loteprednol	C0021368
loteprednol	C0022081
loteprednol	C0022568
loteprednol	C0035854
lovastatin	C1956346
lovastatin	C0020443
lovastatin	C0020476
lovastatin	C0020557
loxapine	C0033975
magnesium sulfate	C0009806
magnesium sulfate	C0013537
magnesium sulfate	C0024473
magnesium sulfate	C0027697
magnesium sulfate	C0032914
magnesium sulfate	C0036572
magnesium sulfate	C0040479
magnesium sulfate	C0042510
malathion	C0030756
mannitol	C0002962
mannitol	C0003460
mannitol	C0003962
mannitol	C1527311
mannitol	C0018674
mannitol	C0013221
mannitol	C0013608
mannitol	C0740394
mannitol	C0022660
mannitol	C0028840
mannitol	C0028961
mannitol	C0032787
mannitol	C0033575
mannitol	C0034063
maprotiline	C0006370
maprotiline	C0236736
maprotiline	C0011581
maprotiline	C0013295
maprotiline	C0014394
maprotiline	C0030193
maprotiline	C0030319
masoprocol	C0022593
mazindol	C0028754
mebendazole	C0002831
mebendazole	C0003950
mebendazole	C0086227
mebendazole	C0040954
mecamylamine	C0020540
mecamylamine	C0040517
mechlorethamine	C0019829
mechlorethamine	C0026948
mechlorethamine	C0027627
mechlorethamine	C0080032
meclizine	C0026603
meclizine	C0042571
medroxyprogesterone	C0002453
medroxyprogesterone	C1458155
medroxyprogesterone	C0007134
medroxyprogesterone	C0014173
medroxyprogesterone	C0014170
medroxyprogesterone	C0398353
medroxyprogesterone	C0042134
mefenamic acid	C0013390
mefenamic acid	C0015967
mefenamic acid	C0025323
mefenamic acid	C0033046
mefloquine	C0024535
mefloquine	C0024537
megestrol	C0003123
megestrol	C1458155
megestrol	C0006625
megestrol	C0014170
melphalan	C1458155
melphalan	C0026764
melphalan	C0027819
melphalan	C0919267
melphalan	C0035412
menthol	C0030193
menthol	C0033774
menthol	C0037274
meperidine	C0030193
mephenytoin	C0014557
mephenytoin	C0014556
mephenytoin	C0014549
mephobarbital	C0014553
mephobarbital	C0014549
mepivacaine	C0030193
mesoridazine	C0033975
mesoridazine	C0036341
metaraminol	C0020649
metaraminol	C0036974
metformin	C0011860
methadone	C0027412
methadone	C0030200
methazolamide	C0017605
methazolamide	C0017612
methimazole	C0018021
methimazole	C0040127
methotrexate	C0553662
methotrexate	C1458155
methotrexate	C0014859
methotrexate	C0023418
methotrexate	C0024121
methotrexate	C0026948
methotrexate	C0029463
methotrexate	C0033860
methotrexate	C0038356
methotrexate	C0039590
methotrexate	C0041182
methotrimeprazine	C0003469
methotrimeprazine	C0030193
methoxsalen	C0026948
methoxsalen	C0033860
methoxsalen	C0042900
methscopolamine	C0004096
methyclothiazide	C0013604
methyclothiazide	C0018802
methyclothiazide	C0020538
methyclothiazide	C0027726
methyldopa	C0020538
methylergonovine	C0032797
methylphenidate	C1263846
methylphenidate	C0011581
methylphenidate	C0027404
methylprednisolone	C0004364
methylprednisolone	C0018133
methylprednisolone	C0018939
methylprednisolone	C0020517
methylprednisolone	C0021368
methylprednisolone	C0027651
methylprednisolone	C0027854
methylprednisolone	C0035222
metipranolol	C0017612
metoclopramide	C0017168
metoclopramide	C0152020
metoclopramide	C0520909
metocurine iodide	C0039614
metolazone	C0013604
metolazone	C0018802
metolazone	C0020538
metolazone	C0027726
metoprolol	C0002962
metoprolol	C0004238
metoprolol	C0004239
metoprolol	C0018802
metoprolol	C0020538
metoprolol	C0027051
metoprolol	C0039240
metoprolol	C0042514
metoprolol	C0042510
metronidazole	C0000833
metronidazole	C0002438
metronidazole	C0004669
metronidazole	C0014358
metronidazole	C0017536
metronidazole	C0079487
metronidazole	C0035854
metronidazole	C0038941
metronidazole	C0040923
metronidazole	C0085166
metyrosine	C0020538
metyrosine	C0031511
mexiletine	C0011882
mexiletine	C0042510
mexiletine	C0151636
mezlocillin	C0033817
mezlocillin	C0035243
mezlocillin	C0036690
mezlocillin	C0037278
mezlocillin	C0149778
mezlocillin	C0042029
miconazole	C0004030
miconazole	C0006846
miconazole	C0700345
miconazole	C0040259
midodrine	C0020651
midodrine	C0042024
mifepristone	C0006118
mifepristone	C0025284
mifepristone	C0032987
milrinone	C0013221
milrinone	C0018802
minocycline	C0001144
minocycline	C0003175
minocycline	C0025303
minoxidil	C0002170
minoxidil	C0020540
mirtazapine	C0011581
mitomycin	C0001418
mitomycin	C0009404
mitomycin	C0017601
mitomycin	C0005695
mitotane	C0001618
mitotane	C0010481
mitoxantrone	C1458155
mitoxantrone	C0023467
mitoxantrone	C0024299
mitoxantrone	C0026769
mitoxantrone	C0030193
mitoxantrone	C0033578
mitoxantrone	C1261473
molindone	C0033975
molindone	C0036341
mometasone	C0004096
mometasone	C0021368
mometasone	C0033774
mometasone	C0035457
moricizine	C0042514
moricizine	C0042510
morphine	C0013404
morphine	C0030200
mupirocin	C0021099
mycophenolic acid	C0018133
mycophenolic acid	C0033860
nadolol	C0002962
nadolol	C0018802
nadolol	C0020538
nadolol	C0027051
nafarelin	C0014175
nafarelin	C0034013
nafcillin	C0007642
nafcillin	C0014121
nafcillin	C0085437
nafcillin	C0029443
nafcillin	C0032787
nafcillin	C0035243
nafcillin	C0036690
nafcillin	C0162627
nafcillin	C0038160
nafcillin	C0042029
nafcillin	C0043241
nalbuphine	C0030201
nalidixic acid	C0014836
nalidixic acid	C0022729
nalidixic acid	C0033700
nalidixic acid	C0036117
nalidixic acid	C0042029
naloxone	C0027412
naloxone	C0035204
naloxone	C0036983
naltrexone	C0001973
naltrexone	C0027412
naproxen	C0553662
naproxen	C0006444
naproxen	C0013390
naproxen	C0015967
naproxen	C0018099
naproxen	C0021368
naproxen	C0029408
naproxen	C0038013
nedocromil	C0004096
nedocromil	C0009766
nedocromil	C0033774
nelfinavir	C0001175
neomycin	C0014836
neomycin	C0019151
neomycin	C0162627
neostigmine	C0000771
neostigmine	C0026896
neostigmine	C0005686
neostigmine	C0080274
netilmicin	C0085423
netilmicin	C0038160
nevirapine	C0001175
nicardipine	C0002963
nicardipine	C0020538
niclosamide	C0018889
nicotine	C0009324
nicotine	C0040336
nifedipine	C0002963
nifedipine	C0020538
nimodipine	C0038525
nisoldipine	C0002963
nisoldipine	C0020538
nitric oxide	C0035220
nitrofurantoin	C0085423
nitrofurantoin	C0085426
nitrofurantoin	C0042029
nitrofurazone	C0006434
nitrofurazone	C0009062
nitrofurazone	C0014836
nitrofurazone	C0033700
nitrofurazone	C0038166
nitrofurazone	C0038395
nitrofurazone	C0043241
nitroglycerin	C0002962
nitroglycerin	C0013537
nitroglycerin	C0014863
nitroglycerin	C0016167
nitroglycerin	C0018802
nitroglycerin	C0020542
nitroglycerin	C0021890
nitroglycerin	C0027051
nitroprusside	C0018802
nitroprusside	C0020540
nitroprusside	C0021890
nizatidine	C0013295
nizatidine	C0013395
nizatidine	C0014869
nizatidine	C0017168
nizatidine	C0018834
nizatidine	C0079487
nizatidine	C0038358
nizatidine	C0042109
nizatidine	C0043515
norepinephrine	C0036974
norethindrone	C0001144
norethindrone	C0014173
norethindrone	C0014175
norethindrone	C0020619
norethindrone	C0025323
norfloxacin	C0009768
norfloxacin	C0010692
norfloxacin	C0014836
norfloxacin	C0018081
norfloxacin	C0018482
norfloxacin	C0033581
norfloxacin	C0033817
norfloxacin	C0038160
norfloxacin	C0042029
nortriptyline	C0003469
nortriptyline	C1263846
nortriptyline	C0011581
nortriptyline	C0014394
nortriptyline	C0030193
nystatin	C0006845
nystatin	C0006846
nystatin	C0006849
nystatin	C0700345
ofloxacin	C0006277
ofloxacin	C0008149
ofloxacin	C0009768
ofloxacin	C0010043
ofloxacin	C0010692
ofloxacin	C0014534
ofloxacin	C0014836
ofloxacin	C0018081
ofloxacin	C0018482
ofloxacin	C0079487
ofloxacin	C0022729
ofloxacin	C0029878
ofloxacin	C0029888
ofloxacin	C0033581
ofloxacin	C0033700
ofloxacin	C0036117
ofloxacin	C0162627
ofloxacin	C0149778
ofloxacin	C0038160
ofloxacin	C0041327
ofloxacin	C0042029
omeprazole	C0013295
omeprazole	C0014868
omeprazole	C0017168
omeprazole	C0018834
omeprazole	C0079487
omeprazole	C0038358
omeprazole	C0043515
ondansetron	C0001973
orphenadrine	C0026821
orphenadrine	C0026837
orphenadrine	C0027121
orphenadrine	C0030193
orphenadrine	C0037763
orphenadrine	C0039614
oxacillin	C0007642
oxacillin	C0014121
oxacillin	C0085437
oxacillin	C0029443
oxacillin	C0032787
oxacillin	C0035243
oxacillin	C0036690
oxacillin	C0038160
oxacillin	C0042029
oxacillin	C0043241
oxamniquine	C0036330
oxandrolone	C0013911
oxandrolone	C0018273
oxazepam	C0001957
oxazepam	C0003469
oxazepam	C0014547
oxymetazoline	C0009763
oxymetazoline	C0035455
oxymorphone	C0030193
oxytetracycline	C0001144
oxytetracycline	C0008149
oxytetracycline	C0018081
oxytetracycline	C0085426
oxytetracycline	C0026936
oxytetracycline	C0035585
oxytetracycline	C0039128
paclitaxel	C1458155
paclitaxel	C0024121
paclitaxel	C0919267
paclitaxel	C0036220
papaverine	C0002962
papaverine	C0003811
papaverine	C0003838
papaverine	C0007786
papaverine	C0232488
papaverine	C0242350
papaverine	C0034065
papaverine	C0034734
papaverine	C0040038
paromomycin	C0002438
paromomycin	C0010418
paroxetine	C0011581
paroxetine	C0013473
paroxetine	C0028768
paroxetine	C0030319
paroxetine	C0349231
paroxetine	C0038436
penbutolol	C0002962
penbutolol	C0020538
penbutolol	C0027051
penicillamine	C0003873
penicillamine	C0010691
penicillamine	C0023176
penicillamine	C0023892
penicillamine	C0025427
penicillin g	C0003175
penicillin g	C0014122
penicillin g	C0018081
penicillin g	C0085423
penicillin g	C0085426
penicillin g	C0025303
penicillin g	C0035436
penicillin g	C0037974
penicillin g	C0038395
penicillin g	C0039128
penicillin v	C0085423
penicillin v	C0085426
penicillin v	C0029882
penicillin v	C0037199
penicillin v	C0037278
penicillin v	C0037974
penicillin v	C0042029
pentamidine	C0023290
pentamidine	C0032305
pentamidine	C0041227
pentazocine	C0030193
pentobarbital	C0038220
pentosan polysulfate	C0016199
pentostatin	C0023443
pentoxifylline	C0007786
pentoxifylline	C0011875
pentoxifylline	C0011882
pentoxifylline	C0017086
pentoxifylline	C0243000
pentoxifylline	C0021775
pentoxifylline	C0024534
pentoxifylline	C0038454
pentoxifylline	C0040053
pentoxifylline	C0042384
perindopril	C0011881
perindopril	C0018802
perindopril	C0020538
perindopril	C0242698
perphenazine	C0020179
perphenazine	C0027497
perphenazine	C0033975
perphenazine	C0035400
perphenazine	C0036341
perphenazine	C0038587
perphenazine	C0040485
perphenazine	C0040517
perphenazine	C0042963
phenelzine	C0011581
pheniramine	C0035457
pheniramine	C0042109
phenobarbital	C0002962
phenobarbital	C0004096
phenobarbital	C0014547
phenobarbital	C0270851
phenobarbital	C0014549
phenobarbital	C0020433
phenobarbital	C0009952
phenoxybenzamine	C0020540
phenoxybenzamine	C0005694
phenoxybenzamine	C0042024
phenprocoumon	C0034065
phenprocoumon	C0040038
phenprocoumon	C0042487
phentolamine	C0015379
phentolamine	C0020540
phentolamine	C0027540
phenylephrine	C0004096
phenylephrine	C0016167
phenylephrine	C0017612
phenylephrine	C0019112
phenylephrine	C0020649
phenylephrine	C0033775
phenylephrine	C0035460
phenylephrine	C0036983
phenylephrine	C0039240
phenytoin	C0014527
phenytoin	C0014556
phenytoin	C0014549
physostigmine	C0000771
physostigmine	C0013221
physostigmine	C0017601
pilocarpine	C0017605
pilocarpine	C0018671
pilocarpine	C0026961
pilocarpine	C0043352
pimecrolimus	C0011615
pimozide	C0020179
pimozide	C0033975
pimozide	C0040517
pindolol	C0002962
pindolol	C0020538
pindolol	C0027051
piperacillin	C0014836
piperacillin	C0033700
piperacillin	C0033817
piperacillin	C0035243
piperacillin	C0036690
piperacillin	C0037278
piperacillin	C0149778
piperacillin	C0038395
piperacillin	C0042029
pipobroman	C0023418
pipobroman	C0032463
piroxicam	C0003873
piroxicam	C0021368
piroxicam	C0029408
piroxicam	C0038013
piroxicam	C0038814
polythiazide	C0013604
polythiazide	C0018802
polythiazide	C0020538
polythiazide	C0027726
pramipexole	C0011581
pramipexole	C0030567
pravastatin	C1956346
pravastatin	C0020443
pravastatin	C0020476
pravastatin	C0020557
praziquantel	C0009021
praziquantel	C0010678
praziquantel	C0021832
praziquantel	C0029106
praziquantel	C0036323
prazosin	C0020538
prazosin	C2937421
prazosin	C0034734
prazosin	C0080274
prednisone	C0001623
prednisone	C0004364
prednisone	C0009326
prednisone	C0015397
prednisone	C0017178
prednisone	C0018133
prednisone	C0018939
prednisone	C0020437
prednisone	C0020517
prednisone	C0021368
prednisone	C0027651
prednisone	C0035242
prednisone	C0035435
prednisone	C0037274
prilocaine	C0030193
primaquine	C0024535
primaquine	C0024537
primidone	C0014544
primidone	C0040822
probenecid	C0018081
probenecid	C0018099
probenecid	C0027927
procainamide	C0004238
procainamide	C0004239
procainamide	C0039240
procainamide	C0042514
procainamide	C0151636
procaine	C0030193
procaine	C0038587
procarbazine	C0006118
procarbazine	C0019829
procarbazine	C0024121
procarbazine	C0024305
procarbazine	C0025202
procarbazine	C0026764
prochlorperazine	C0003469
prochlorperazine	C0497327
prochlorperazine	C0027497
prochlorperazine	C0033975
prochlorperazine	C0042963
procyclidine	C0242422
progesterone	C0002453
progesterone	C0014173
progesterone	C0021361
progesterone	C0042134
proguanil	C0024535
promazine	C0027497
promazine	C0033975
promazine	C0042963
promethazine	C0026603
promethazine	C0027497
promethazine	C0030193
promethazine	C0032787
promethazine	C0035457
promethazine	C0042963
propafenone	C0004238
propafenone	C0039240
propantheline	C0022104
propantheline	C0030305
propantheline	C0030920
propantheline	C0037763
propantheline	C0041969
propantheline	C0005686
propofol	C0011206
propofol	C0030193
propofol	C0085631
propofol	C0038220
propranolol	C0002962
propranolol	C0014849
propranolol	C0270736
propranolol	C0018802
propranolol	C0020538
propranolol	C0027051
propranolol	C0030319
propranolol	C0031511
propranolol	C0039240
propranolol	C0042514
propranolol	C0042510
propylthiouracil	C0018021
propylthiouracil	C0040127
protriptyline	C0011581
pseudoephedrine	C0004096
pseudoephedrine	C0009443
pseudoephedrine	C0035457
pseudoephedrine	C0037199
pyrazinamide	C0041296
pyridostigmine	C0000771
pyridostigmine	C0026896
pyrimethamine	C0162526
pyrimethamine	C0024535
quinacrine	C0017536
quinacrine	C0024535
quinestrol	C0600142
quinestrol	C0025322
quinidine	C0004238
quinidine	C0004239
quinine	C0004576
quinine	C0024535
quinine	C0026821
raloxifene	C0029458
ramipril	C0011881
ramipril	C0018802
ramipril	C0020538
ramipril	C0242698
reserpine	C0013384
reserpine	C0020538
reserpine	C0036341
ribavirin	C0001487
ribavirin	C0524910
ribavirin	C0035235
ribavirin	C0043124
rifabutin	C0026916
rifabutin	C0041327
riluzole	C0002736
risedronate	C0029458
risedronate	C0030186
risperidone	C0004352
risperidone	C0005586
risperidone	C0497327
risperidone	C0036341
risperidone	C0040517
ritonavir	C0001175
salicylic acid	C0001144
salicylic acid	C0036508
salicylic acid	C0033860
salicylic acid	C0036271
salicylic acid	C0043037
salsalate	C0003864
salsalate	C0015967
salsalate	C0030193
saquinavir	C0001175
scopolamine	C0009373
scopolamine	C0012813
scopolamine	C0013369
scopolamine	C0015469
scopolamine	C0022073
scopolamine	C0030568
scopolamine	C0035460
secobarbital	C0021603
selegiline	C0002395
selegiline	C1263846
selegiline	C0011581
selegiline	C0030567
selegiline	C0036341
sertraline	C0011581
sertraline	C0013473
sertraline	C0028768
sertraline	C0030319
sertraline	C0038436
simvastatin	C1956346
simvastatin	C0020443
simvastatin	C0020476
simvastatin	C0020557
sodium tetradecyl sulfate	C0014849
sodium tetradecyl sulfate	C0042345
sotalol	C0004238
sotalol	C0004239
sotalol	C0039240
sotalol	C0042514
sotalol	C0042510
spectinomycin	C0018081
spironolactone	C0003962
spironolactone	C0013604
spironolactone	C0018802
spironolactone	C0019572
spironolactone	C0020428
spironolactone	C0020538
spironolactone	C0020621
stavudine	C0001175
streptomycin	C0006309
streptomycin	C0014121
streptomycin	C0026918
streptomycin	C0032064
streptomycin	C0038395
streptomycin	C0041351
streptozocin	C0009404
streptozocin	C0019829
streptozocin	C0030297
sufentanil	C0030193
sulfacetamide	C0010043
sulfacetamide	C0036508
sulfacetamide	C0013447
sulfacetamide	C0162627
sulfacetamide	C0040592
sulfadiazine	C0162526
sulfadiazine	C0008153
sulfadiazine	C0014347
sulfadiazine	C0024530
sulfadiazine	C0028242
sulfadiazine	C0040558
sulfadiazine	C0042029
sulfadoxine	C0024535
sulfadoxine	C0032305
sulfamethizole	C0085423
sulfamethizole	C0085426
sulfamethizole	C0042029
sulfamethoxazole	C0006277
sulfamethoxazole	C0008153
sulfamethoxazole	C0014347
sulfamethoxazole	C0028242
sulfamethoxazole	C0029882
sulfamethoxazole	C0040558
sulfamethoxazole	C0042029
sulfanilamide	C0700345
sulfapyridine	C0011608
sulfapyridine	C0030805
sulfapyridine	C0085652
sulfasalazine	C0553662
sulfasalazine	C0009324
sulfinpyrazone	C0002962
sulfinpyrazone	C0010068
sulfinpyrazone	C0018099
sulfinpyrazone	C0027051
sulfisoxazole	C0008149
sulfisoxazole	C0010043
sulfisoxazole	C0028242
sulfisoxazole	C0029882
sulfisoxazole	C0080107
sulfisoxazole	C0040592
sulfisoxazole	C0042029
sulindac	C0003868
sulindac	C0003873
sulindac	C0021368
sulindac	C0029408
sumatriptan	C0009088
tacrine	C0002395
tacrolimus	C0011615
tacrolimus	C0018133
tamoxifen	C1458155
tamoxifen	C0018418
tamoxifen	C0030297
tamoxifen	C0034013
temazepam	C0011581
temazepam	C0030319
temazepam	C0021603
teniposide	C0262584
teniposide	C0023448
teniposide	C0024121
tenofovir	C0001175
terazosin	C0020538
terazosin	C2937421
terazosin	C0080274
terbutaline	C0004096
testolactone	C1458155
testosterone	C1458155
testosterone	C0020619
testosterone	C0034012
tetracycline	C0001144
tetracycline	C0006277
tetracycline	C0008149
tetracycline	C0015404
tetracycline	C0018081
tetracycline	C0085426
tetracycline	C0079487
tetracycline	C0026936
tetracycline	C0035585
tetracycline	C0039128
theophylline	C0003578
theophylline	C0004096
theophylline	C0428977
theophylline	C0006266
theophylline	C0006277
theophylline	C0034067
thiabendazole	C0013100
thiabendazole	C0023048
thiabendazole	C0038463
thiabendazole	C0040896
thiethylperazine	C0027497
thiethylperazine	C0042571
thiethylperazine	C0042963
thioguanine	C0023437
thioguanine	C0023439
thioguanine	C0023473
thioguanine	C0023481
thioguanine	C0033860
thiopental	C0151740
thioridazine	C0033975
thioridazine	C0036341
thyroxine	C0018021
thyroxine	C0027145
thyroxine	C0040136
thyroxine	C0920350
thyroxine	C0040156
ticarcillin	C0033817
ticarcillin	C0035243
ticarcillin	C0036690
ticarcillin	C0037278
ticarcillin	C0149778
ticarcillin	C0042029
ticlopidine	C0007781
tiludronate	C0030186
timolol	C0002962
timolol	C0017612
timolol	C0018802
timolol	C0020538
timolol	C0027051
tobramycin	C0015404
tobramycin	C0033817
tobramycin	C0035243
tobramycin	C0038160
tobramycin	C0042029
tocainide	C0003811
tocainide	C0040997
tolazamide	C0011860
tolazoline	C0003851
tolazoline	C0007462
tolazoline	C0085096
tolazoline	C0031190
tolazoline	C0034734
tolazoline	C0036421
tolazoline	C0037763
tolazoline	C0040021
tolazoline	C0040046
tolbutamide	C0011860
tolmetin	C0553662
tolmetin	C0029408
topotecan	C0007131
topotecan	C0262584
topotecan	C0919267
toremifene	C1458155
toremifene	C0027661
tramadol	C0030193
tranexamic acid	C0005779
tranexamic acid	C0038525
tranylcypromine	C0011581
