#,context,disease_name,drug_name,workers_answers,medical_expert1,medical_expert2,medical_expert3,do_id,drug_brand_name,drug_id,label_id,sheet,expert_consensus,inter_agree_experts,medical_expert4,"Final 
(closest option)"
58.0,"Azelaic acid gel, 15% is indicated for topical treatment of the inflammatory papules and pustules of mild to moderate rosacea. Although some reduction of erythema which was present in patients with papules and pustules of rosacea occurred in clinical studies, efficacy for treatment of erythema in rosacea in the absence of papules and pustules has not been evaluated. 
Azelaic acid gel, 15% is indicated for topical treatment of the inflammatory papules and pustules of mild to moderate rosacea.  Efficacy for treatment of erythema in rosacea in the absence of papules and pustules has not been evaluated. (
1",ROSACEA,AZELAIC ACID,"indication_treatment
indication_treatment
indication_treatment",Indication: Treatment,Indication: Treatment,Indication: Treatment,DOID_8881,,DB00548,c7947a98-396b-4885-9631-ce629e583594.xml,Indication_treatment,Indication: Treatment,3,,
59.0,"Loteprednol etabonate is indicated for the treatment of steroid responsive inflammatory conditions of the palpebral and bulbar conjunctiva, cornea and anterior segment of the globe such as allergic conjunctivitis, acne rosacea, superficial punctate keratitis, herpes zoster keratitis, iritis, cyclitis, selected infective conjunctivitides, when the inherent hazard of steroid use is accepted to obtain an advisable diminution in edema and inflammation. 
Loteprednol etabonate is less effective than prednisolone acetate 1% in two 28-day controlled clinical studies in acute anterior uveitis, where 72% of patients treated with loteprednol etabonate experienced resolution of anterior chamber cells, compared to 87% of patients treated with prednisolone acetate 1%. The incidence of patients with clinically significant increases in IOP (‰ä´10 mmHg) was 1% with loteprednol etabonate and 6% with prednisolone acetate 1%. Loteprednol etabonate should not be used in patients who require a more potent corticosteroid for this indication.
Loteprednol etabonate is also indicated for the treatment of post-operative inflammation following ocular surgery.",ROSACEA,LOTEPREDNOL,"indication_treatment
indication_treatment
indication_treatment",Indication: Treatment,Indication: Treatment,Indication: Treatment,DOID_8881,,DB00873,8ac9f50d-ead0-4ba4-9446-bbb51bfd001f.xml,Indication_treatment,Indication: Treatment,3,,
60.0,Miglitol tablets are indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus.,TYPE 2 DIABETES MELLITUS,Miglitol,"indication_treatment
indication_treatment
indication_treatment",Indication: Treatment,Indication: Treatment,Indication: Treatment,DOID_9352,,DB00491,17a6135f-ebee-4943-a5bf-b35df3d1ca27.xml,Indication_treatment,Indication: Treatment,3,,
61.0,Tolazamide tablets are indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus.,TYPE 2 DIABETES MELLITUS,TOLAZAMIDE,"indication_treatment
indication_treatment
indication_treatment",Indication: Treatment,Indication: Treatment,Indication: Treatment,DOID_9352,,DB00839,7b33fbac-3018-0b82-e053-2991aa0abc53.xml,Indication_treatment,Indication: Treatment,3,,
62.0,"['ONGLYZA is a dipeptidyl peptidase-4 (DPP4) inhibitor indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus in multiple clinical settings. ', '(1.1', '14)', '\n                           ', None, '\n                           ', '\n                              ', '‰Û¢', '(1.2)', '\n                              ', '‰Û¢', '(1.2, ', '5.1)', 'ONGLYZA is indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus in multiple clinical settings. [See ', '\n                              ', 'Clinical Studies (14)', 'ONGLYZA should not be used for the treatment of type 1 diabetes mellitus or diabetic ketoacidosis, as it would not be effective in these settings.', 'ONGLYZA has not been studied in patients with a history of pancreatitis. It is unknown whether patients with a history of pancreatitis are at an increased risk for the development of pancreatitis while using ONGLYZA. [See ', '\n                              ', 'Warnings and Precautions (5.1)']",TYPE 2 DIABETES MELLITUS,saxagliptin anhydrous,"indication_treatment
indication_treatment
indication_treatment",Indication: Treatment,Indication: Treatment,Indication: Treatment,DOID_9352,,DB06335,ecec971e-998c-4773-8081-ab1f5e66b135.xml,Indication_treatment,Indication: Treatment,3,,
63.0,"['TRADJENTA is a dipeptidyl peptidase-4 (DPP-4)\ninhibitor indicated as an adjunct to diet and exercise to improve\nglycemic control in adults with type 2 diabetes mellitus (', '1.1', None, 'Important limitations of use:', '\n                           ', 'Should not be used in patients with type 1 diabetes or for\nthe treatment of diabetic ketoacidosis ', '(1.2)', 'Has not been studied in patients with a history of pancreatitis ', '(1.2)', 'TRADJENTA is indicated as an adjunct to diet and exercise\nto improve glycemic control in adults with type 2 diabetes mellitus ', '\n                              ', '[see Clinical Studies (', '14.1', 'TRADJENTA should\nnot be used in patients with type 1 diabetes or for the treatment\nof diabetic ketoacidosis, as it would not be effective in these settings.', 'TRADJENTA has not been studied in patients\nwith a history of pancreatitis.  It is unknown whether patients with\na history of pancreatitis are at an increased risk for the development\nof pancreatitis while using TRADJENTA ', '[see Warnings and Precautions ', '(5.1)']",TYPE 2 DIABETES MELLITUS,linagliptin,"indication_treatment
indication_treatment
indication_treatment",Indication: Treatment,Indication: Treatment,Indication: Treatment,DOID_9352,,DB08882,1135e6c8-c2ae-d958-20ba-6c1eda889aa2.xml,Indication_treatment,Indication: Treatment,3,,
64.0,"['\n                     ', 'Monotherapy and Combination Therapy', '\n                     ', 'Pioglitazone tablets are indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus in multiple clinical settings ', '[see ', 'Clinical Studies (14)', '.', '\n                     ', None, '\n                     ', 'Important Limitations of Use', '\n                     ', 'Pioglitazone tablets exert their antihyperglycemic effect only in the presence of endogenous insulin. Pioglitazone tablets should not be used to treat type 1 diabetes or diabetic ketoacidosis, as it would not be effective in these settings.', '\n                     ', 'Use caution in patients with liver disease ', '[see ', 'Warnings and Precautions (5.3)', '.', 'Pioglitazone tablets are a thiazolidinedione and an agonist for peroxisome proliferator-activated receptor (PPAR) gamma indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus in multiple clinical settings. (', '1', '14', None, None, '\n                           ', 'Important Limitations of Use:', '\n                           ', 'Not for treatment of type 1 diabetes or diabetic ketoacidosis. (', '1']",TYPE 2 DIABETES MELLITUS,PIOGLITAZONE,"indication_treatment
indication_treatment
indication_treatment",Indication: Treatment,Indication: Treatment,Indication: Treatment,DOID_9352,,DB01132,c22408fc-7d2c-40d1-be97-90ef6e04005c.xml,Indication_treatment,Indication: Treatment,3,,
65.0,"['\n                     ', None, 'Dicyclomine hydrochloride injection is an antispasmodic and anticholinergic (antimuscarinic) agent indicated for the treatment of functional bowel/irritable bowel syndrome \n         \n \n    ', '(1)', 'Dicyclomine hydrochloride injection is indicated for the treatment of patients with functional bowel/irritable bowel syndrome.']",IRRITABLE BOWEL SYNDROME,DICYCLOMINE,"indication_treatment
indication_treatment
indication_treatment",Indication: Treatment,Indication: Treatment,Indication: Treatment,DOID_9778,,DB00804,827353c7-d588-04d4-e053-2a91aa0a2f49.xml,Indication_treatment,Indication: Treatment,3,,
66.0,"['LINZESS is indicated in adults for the treatment of:', '\n                     ', 'irritable bowel syndrome with constipation (IBS-C) ', None, 'chronic idiopathic constipation (CIC).', 'LINZESS is a guanylate cyclase-C agonist indicated in adults for treatment of:', '\n                           ', 'Irritable bowel syndrome with constipation. (IBS-C) (', '1', None, 'Chronic idiopathic constipation. (CIC) (', '1']",IRRITABLE BOWEL SYNDROME,linaclotide,"indication_treatment
indication_treatment
indication_treatment",Indication: Treatment,Indication: Treatment,Indication: Treatment,DOID_9778,,DB08890,114152bc-d286-4228-9b01-9814473d3875.xml,Indication_treatment,Indication: Treatment,3,,
67.0,"Hyoscyamine sulfate is effective as adjunctive therapy in the treatment of peptic ulcer. It can also be used to control gastric secretion, visceral spasm and hypermotility in spastic colitis, spastic bladder, cystitis, pylorospasm, and associated abdominal cramps. May be used in functional intestinal disorders to reduce symptoms such as those seen in mild dysenteries, diverticulitis, and acute enterocolitis. For use as adjunctive therapy in the treatment of irritable bowel syndrome (irritable colon, spastic colon, mucous colitis) and functional gastrointestinal disorders. Also used as adjunctive therapy in the treatment of neurogenic bladder and neurogenic bowel disturbances (including the splenic flexure syndrome and neurogenic colon). Also used in the treatment of infant colic (elixir and drops). Hyoscyamine sulfate is indicated along with morphine or other narcotics in symptomatic relief of biliary and renal colic; as a ""drying agent"" in the relief of symptoms of acute rhinitis; in the therapy of parkinsonism to reduce rigidity and tremors and to control associated sialorrhea and hyperhidrosis. May be used in the therapy of poisoning by anticholinesterase agents.",IRRITABLE BOWEL SYNDROME,HYOSCYAMINE,"indication_treatment
indication_treatment
indication_treatment",Indication: Treatment,Indication: Treatment,Indication: Treatment,DOID_9778,,DB00424,61698d95-9cbf-7582-e053-2a91aa0a06a8.xml,Indication_treatment,Indication: Treatment,3,,
68.0,"Marqibo is a vinca alkaloid indicated for the treatment of adult patients with Philadelphia chromosome-negative (Ph-) acute lymphoblastic leukemia (ALL) in second or greater relapse or whose disease has progressed following two or more anti-leukemia therapies.  This indication is based on overall response rate.  Clinical benefit such as improvement in overall survival has not been verified (
1.1
Marqibo
",ACUTE LYMPHOBLASTIC LEUKEMIA,Vincristine,"indication_treatment
indication_treatment
indication_treatment",Indication: Treatment,Indication: Treatment,Indication: Treatment,DOID_9952,,DB00541,768cd59b-38a2-4af5-ab91-4d46ae808ab3.xml,Indication_treatment,Indication: Treatment,3,,
69.0,Cytarabine Injection in combination with other approved anti-cancer drugs is indicated for remission induction in acute non-lymphocytic leukemia of adults and pediatric patients. It has also been found useful in the treatment of acute lymphocytic leukemia and the blast phase of chronic myelocytic leukemia. Intrathecal administration of Cytarabine Injection (preservative free preparations only) is indicated in the prophylaxis and treatment of meningeal leukemia.,ACUTE LYMPHOCYTIC LEUKEMIA,CYTARABINE,"indication_treatment
indication_treatment
indication_treatment",Indication: Treatment,Indication: Treatment,Indication: Treatment,DOID_9952,,DB00987,8e757bde-f875-4348-8fbc-8991bc2e1141.xml,Indication_treatment,Indication: Treatment,3,,
70.0,Carteolol Hydrochloride Ophthalmic Solution 1% has been shown to be effective in lowering intraocular pressure and may be used in patients with chronic open-angle glaucoma and intraocular hypertension. It may be used alone or in combination with other intraocular pressure lowering medications.,OPEN-ANGLE GLAUCOMA,CARTEOLOL,"indication_treatment
indication_treatment
indication_treatment",Indication: Treatment,Indication: Treatment,Indication: Treatment,DOID_1067,,DB00521,42565981-7e64-4080-8195-034fd5ca0565.xml,Indication_treatment,Indication: Treatment,3,,
71.0,"Methazolamide Tablets USPåÊ is indicated in the treatment of ocular conditions where lowering intraocular pressure is likely to be of therapeutic benefit, such as chronic open-angle glaucoma, secondary glaucoma, and preoperatively in acute angle-closure glaucoma where lowering the intraocular pressure is desired before surgery.",OPEN-ANGLE GLAUCOMA,METHAZOLAMIDE,"indication_treatment
indication_treatment
indication_treatment",Indication: Treatment,Indication: Treatment,Indication: Treatment,DOID_1067,,DB00703,e191b251-c4c0-46c6-bbb2-710f51a3368e.xml,Indication_treatment,Indication: Treatment,3,,
72.0,"Pilocarpine hydrochloride can be used in the medical management of glaucoma, especially open-angle glaucoma, in those cases in which the intraocular pressure can be controlled adequately by the topical administration of pilocarpine. In acute (closed-angle) glaucoma, pilocarpine hydrochloride may be used alone, or in combination with other cholinergic agents or carbonic anhydrase inhibitors, to relieve tension prior to emergency surgery.
Patients may be maintained on pilocarpine hydrochloride as long as intraocular pressure is controlled and there is no deterioration in the visual fields. The choice of concentration should be determined by the severity of the condition and the response of the patient. Pilocarpine hydrochloride is also indicated to counter the effects of cycloplegics and mydriatics following surgery or ophthalmoscopic examination.",OPEN-ANGLE GLAUCOMA,PILOCARPINE,"indication_treatment
indication_treatment
indication_treatment",Indication: Treatment,Indication: Treatment,Indication: Treatment,DOID_1067,,DB01085,d2ded29a-448d-4c4a-9307-403836a67da4.xml,Indication_treatment,Indication: Treatment,3,,
73.0,"For adjunctive treatment of: edema due to congestive heart failure; drug-induced edema; centrencephalic epilepsies (petit mal, unlocalized seizures); chronic simple (open-angle) glaucoma, secondary glaucoma, and preoperatively in acute angle-closure glaucoma where delay of surgery is desired in order to lower intraocular pressure. Acetazolamide Tablets are also indicated for the prevention or amelioration of symptoms associated with acute mountain sickness in climbers attempting rapid ascent and in those who are very susceptible to acute mountain sickness despite gradual ascent.",GLAUCOMA,ACETAZOLAMIDE,"indication_treatment
indication_treatment
indication_treatment",Indication: Treatment,Indication: Treatment,Indication: Treatment,DOID_1686,,DB00819,37135ba5-63fd-427f-9b4a-8b7d1009bbca.xml,Indication_treatment,Indication: Treatment,3,,
74.0,Levobunolol HCl ophthalmic solution has been shown to be effective in lowering intraocular pressure and may be usedåÊin patients with chronic open-angle glaucoma or ocular hypertension.,OCULAR HYPERTENSION,levobunolol,"indication_treatment
indication_treatment
indication_treatment",Indication: Treatment,Indication: Treatment,Indication: Treatment,DOID_9282,,DB01210,8df5bfb3-75d7-4030-b5cb-29ec9ebac0b2.xml,Indication_treatment,Indication: Treatment,3,,
75.0,"Latanoprost Ophthalmic Solution is indicated for the reduction of elevated intraocular pressure in patients with open-angle glaucoma or ocular hypertension.
Latanoprost ophthalmic solution is a prostaglandin F2ë± analogue indicated for the reduction of elevated intraocular pressure in patients with open-angle glaucoma or ocular hypertension. (
1",OCULAR HYPERTENSION,LATANOPROST,"indication_treatment
indication_treatment
indication_treatment",Indication: Treatment,Indication: Treatment,Indication: Treatment,DOID_9282,,DB00654,b5057189-a1a0-4282-a86d-0c8c5758fc85.xml,Indication_treatment,Indication: Treatment,3,,
76.0,"Betaxolol Hydrochloride Ophthalmic Solution has been shown to be effective in lowering intraocular pressure and is indicated in the treatment of ocular hypertension and chronic open-angle glaucoma. It may be used alone or in combination with other anti-glaucoma drugs.
In clinical studies, Betaxolol Hydrochloride Ophthalmic Solution was safely used to lower intraocular pressure in 47 patients with both glaucoma and reactive airway disease who were followed for a mean period of 15 months. However, caution should be used in treating patients with severe reactive airway disease or a history of asthma.",OCULAR HYPERTENSION,BETAXOLOL,"indication_treatment
indication_treatment
indication_treatment",Indication: Treatment,Indication: Treatment,Indication: Treatment,DOID_9282,,DB00195,aa8fb0a7-d31a-46aa-a207-f0d05afc1672.xml,Indication_treatment,Indication: Treatment,3,,
77.0,"Ergocalciferol Capsules, USP are indicated for use in the treatment of hypoparathyroidism, refractory rickets, also known as vitamin D resistant rickets, and familial hypophosphatemia.",HYPOPARATHYROIDISM,ERGOCALCIFEROL,"indication_treatment
indication_treatment
indication_treatment",Indication: Treatment,Indication: Treatment,Indication: Treatment,DOID_11199,,DB00153,876fef38-0e7e-e076-e053-2a95a90a3565.xml,Indication_treatment,Indication: Treatment,3,,
78.0,"Ergocalciferol Capsules, USP are indicated for use in the treatment of hypoparathyroidism, refractory rickets, also known as vitamin D resistant rickets, and familial hypophosphatemia.",RICKETS,ERGOCALCIFEROL,"indication_treatment
indication_treatment
indication_treatment",Indication: Treatment,Indication: Treatment,Indication: Treatment,DOID_10609,,DB00153,876fef38-0e7e-e076-e053-2a95a90a3565.xml,Indication_treatment,Indication: Treatment,3,,
79.0,"NEUPRO is a dopamine agonist indicated for the treatment of:

                           
Parkinson's disease (
1.1
Moderate-to-severe primary Restless Legs Syndrome (
1.2
NEUPRO is indicated for the treatment of Parkinson's disease.
NEUPRO is indicated for the treatment of moderate-to-severe primary Restless Legs Syndrome.",PARKINSON'S DISEASE,rotigotine,"indication_treatment
indication_treatment
indication_treatment",Indication: Treatment,Indication: Treatment,Indication: Treatment,DOID_14330,,DB05271,a6964835-dc96-4b22-8b64-464a42f6cdf2.xml,Indication_treatment,Indication: Treatment,3,,
80.0,"INBRIJA is indicated for the intermittent treatment of OFF episodes in patients with Parkinson's disease treated with carbidopa/levodopa.
INBRIJA is an aromatic amino acid indicated for the intermittent treatment of OFF episodes in patients with Parkinson's disease treated with carbidopa/levodopa (
         
 
    
1",PARKINSON'S DISEASE,LEVODOPA,"indication_treatment
indication_treatment
indication_treatment",Indication: Treatment,Indication: Treatment,Indication: Treatment,DOID_14330,,DB01235,7e95ddcc-7fe7-8b52-e053-2a91aa0a2984.xml,Indication_treatment,Indication: Treatment,3,,
81.0,"APOKYN (apomorphine hydrochloride injection) is indicated for the acute, intermittent treatment of hypomobility, ""off"" episodes (""end-of-dose wearing off"" and unpredictable ""on/off"" episodes) in patients with advanced Parkinson's disease. APOKYN has been studied as an adjunct to other medications 
[see 
Clinical Studies (14)
APOKYN is a non-ergoline dopamine agonist indicated for the acute, intermittent treatment of hypomobility, ""off"" episodes (""end-of-dose wearing off"" and unpredictable ""on/off"" episodes) associated with advanced Parkinson's disease (
1",PARKINSON'S DISEASE,APOMORPHINE,"indication_treatment
indication_treatment
indication_treatment",Indication: Treatment,Indication: Treatment,Indication: Treatment,DOID_14330,,DB00714,f4356cec-5223-42f2-b26e-c736ec2c308a.xml,Indication_treatment,Indication: Treatment,3,,
82.0,"Cyclosporine Capsules USP (Modified) are indicated for the prophylaxis of organ rejection in kidney, liver, and heart allogeneic transplants. Cyclosporine Capsules USP (Modified) have been used in combination with azathioprine and corticosteroids.
Cyclosporine Capsules USP (Modified) are indicated for the treatment of patients with severe active, rheumatoid arthritis where the disease has not adequately responded to methotrexate. Cyclosporine Capsules USP (Modified) can be used in combination with methotrexate in rheumatoid arthritis patients who do not respond adequately to methotrexate alone.
Cyclosporine Capsules USP (Modified) are indicated for the treatment of adult, nonimmunocompromised patients with severe (i.e., extensive and/or disabling), recalcitrant, plaque psoriasis who have failed to respond to at least one systemic therapy (e.g., PUVA, retinoids, or methotrexate) or in patients for whom other systemic therapies are contraindicated, or cannot be tolerated.
While rebound rarely occurs, most patients will experience relapse with Cyclosporine Capsules USP (Modified) as with other therapies upon cessation of treatment.",RHEUMATOID ARTHRITIS,CYCLOSPORINE,"indication_treatment
indication_treatment
indication_treatment",Indication: Treatment,Indication: Treatment,IDK,DOID_7148,,DB00091,712d2ef2-c795-496a-b4c2-f3e30789dd01.xml,Indication_treatment,Indication: Treatment,2,Indication: Treatment,
84.0,"['Carefully consider the potential benefits and risks of ibuprofen oral suspension and other treatment options before deciding to use ibuprofen oral suspension. Use the lowest effective dose for the shortest duration consistent with individual patient treatment goals (see ', '\n                        ', 'WARNINGS', None, '\n                     ', 'In Pediatric Patients, Ibuprofen Oral Suspension is indicated:', '\n                     ', 'For reduction of fever in patients aged 6 months up to 2 years of age.', 'For relief of mild to moderate pain in patients aged 6 months up to 2 years of age. ', 'For relief of signs and symptoms of juvenile arthritis. ', None, '\n                     ', 'In Adults, Ibuprofen Oral Suspension is indicated:', '\n                     ', 'For treatment of primary dysmenorrhea.', 'For relief of the signs and symptoms of rheumatoid arthritis and osteoarthritis.', None, 'Since there have been no controlled trials to demonstrate whether there is any beneficial effect or harmful interaction with the use of ibuprofen in conjunction with aspirin, the combination cannot be recommended (see ', '\n                        ', 'PRECAUTIONS-Drug Interactions']",RHEUMATOID ARTHRITIS,IBUPROFEN,"indication_symptomatic_relief
indication_treatment
indication_treatment",Indication: Symptomatic Relief,Indication: Symptomatic Relief,Indication: Symptomatic Relief,DOID_7148,,DB01050,d2e35cfc-1c17-456f-8608-5d2c6f7bcb02.xml,Indication_treatment,Indication: Symptomatic Relief,3,,
85.0,"RIDAURA (auranofin) is indicated in the management of adults with active classical or definite rheumatoid arthritis (ARA criteria) who have had an insufficient therapeutic response to, or are intolerant of, an adequate trial of full doses of one or more nonsteroidal anti-inflammatory drugs. RIDAURA should be added to a comprehensive baseline program, including non-drug therapies.
Unlike anti-inflammatory drugs, RIDAURA does not produce an immediate response. Therapeutic effects may be seen after three to four months of treatment, although improvement has not been seen in some patients before six months.
When cartilage and bone damage has already occurred, gold cannot reverse structural damage to joints caused by previous disease. The greatest potential benefit occurs in patients with active synovitis, particularly in its early stage.
In controlled clinical trials comparing RIDAURA with injectable gold, RIDAURA was associated with fewer dropouts due to adverse reactions, while injectable gold was associated with fewer dropouts for inadequate or poor therapeutic effect. Physicians should consider these findings when deciding on the use of RIDAURA in patients who are candidates for chrysotherapy.",RHEUMATOID ARTHRITIS,auranofin,"indication_treatment
indication_treatment
indication_treatment",Indication: Treatment,Indication: Treatment,IDK,DOID_7148,,DB00995,6008addc-7f8e-45bb-8aec-54dd54a788ac.xml,Indication_treatment,Indication: Treatment,2,Indication: Treatment,
86.0,"['Enter section text here', '\n                           ', None, '\n                           ', 'Treatment of schizophrenia in adults (', '1.1', 'Alone, or in combination with lithium or valproate, for the short-term \ntreatment of acute manic or mixed episodes associated with Bipolar I Disorder in \nadults (', '1.2', 'Due to Janssen Pharmaceuticals Corporation‰Ûªs marketing exclusivity rights; \nthis drug product is not labeled for use in pediatric patients with \nschizophrenia or bipolar mania. (', '1.1', '1.2', 'Treatment of irritability associated with autistic disorder in children and \nadolescents aged 5-16 years (', '1.3', None, '\n                           ', None, 'Risperidone tablets are indicated for the acute and maintenance treatment of \nschizophrenia ', '[see ', 'Clinical Studies \n(14.1)', 'Adolescents', 'Due to Janssen Pharmaceuticals Corporation‰Ûªs marketing exclusivity rights, \nthis drug product is not labeled for use in pediatric patients with \nschizophrenia .Pediatric use information for the treatment of pediatric patients \nwith schizophrenia, 13 to 17 years of age, is approved for Janssen \nPharmaceuticals Corporation‰Ûªs risperidone drug products.', '\n                           ', None, 'Risperidone tablets are indicated for the short-term treatment of acute manic \nor mixed episodes associated with Bipolar I Disorder in adults ', '[see ', 'Clinical Studies (14.2)', 'Due to Janssen Pharmaceuticals Corporation‰Ûªs marketing exclusivity rights, \nthis drug product is not labeled for use in pediatric patients with bipolar \nmania. Pediatric use information for the treatment of pediatric patients with \nbipolar mania, 10 to 17 years of age, is approved for Janssen Pharmaceuticals \nCorporation‰Ûªs risperidone drug products.', 'Combination Therapy ‰ÛÒ Adults', 'The combination of risperidone with lithium or valproate is indicated for the \nshort-term treatment of acute manic or mixed episodes associated with Bipolar I \nDisorder ', '[see ', 'Clinical Studies \n(14.3)', '\n                           ', None, 'Risperidone tablets are indicated for the treatment of irritability \nassociated with autistic disorder in children and adolescents aged 5-16 years, \nincluding symptoms of aggression towards others, deliberate self-injuriousness, \ntemper tantrums, and quickly changing moods ', '[see Clinical \nStudies (', '14.4']",SCHIZOPHRENIA,RISPERIDONE,"indication_treatment
indication_treatment
indication_treatment",Indication: Treatment,Indication: Treatment,IDK,DOID_5419,,DB00734,c031d46a-1f80-4600-ab2e-ff0b6e267e2a.xml,Indication_treatment,Indication: Treatment,2,Indication: Treatment,
89.0,"['OFEV is indicated for the treatment of idiopathic\npulmonary fibrosis (IPF).', 'OFEV is a kinase inhibitor indicated\nfor the treatment of idiopathic pulmonary fibrosis (IPF). (', '1', None]",IPF,NINTEDANIB,"indication_treatment
indication_treatment
indication_treatment",Indication: Treatment,Indication: Treatment,Indication: Treatment,DOID_2797,,DB09079,c00a7965-cd50-3326-5b26-d06d46729939.xml,Indication_treatment,Indication: Treatment,3,,
90.0,"OTEZLA, an inhibitor of phosphodiesterase 4 (PDE4), is indicated for the treatment of:

                           
Adult patients with active psoriatic arthritis (
1.1
Patients with moderate to severe plaque psoriasis who are candidates for phototherapy or systemic therapy (
1.2
OTEZLA is indicated for the treatment of adult patients with active psoriatic arthritis.
OTEZLA is indicated for the treatment of  patients with moderate to severe plaque psoriasis who are candidates for phototherapy or systemic therapy.",PSORIATIC ARTHRITIS,APREMILAST,"indication_treatment
indication_treatment
indication_treatment",Indication: Treatment,Indication: Treatment,Indication: Treatment,DOID_9008,,DB05676,f7608fb8-2cd4-4295-a7aa-bd82fc1f2945.xml,Indication_treatment,Indication: Treatment,3,,
91.0,"FIRAZYR

FIRAZYR is a bradykinin B2 receptor antagonist indicated for treatment of acute attacks of hereditary angioedema (HAE) in adults 18 years of age and older. (
1",HEREDITARY ANGIOEDEMA,icatibant,"indication_treatment
indication_treatment
indication_treatment",Indication: Treatment,Indication: Treatment,Indication: Treatment,DOID_14735,,DB06196,c3e90288-9ebb-41f2-a58c-fffec2cf5172.xml,Indication_treatment,Indication: Treatment,3,,
92.0,"GYNAZOLE ‰Û¢ 1 Butoconazole Nitrate Vaginal Cream USP, 2% is indicated for the local treatment of vulvovaginal candidiasis (infections caused by 
Candida
CLINICAL STUDIES

                     
Note: 
PRECAUTIONS - Pregnancy",VULVOVAGINAL CANDIDIASIS,BUTOCONAZOLE,"indication_treatment
indication_treatment
indication_treatment",Indication: Treatment,Indication: Treatment,Indication: Treatment,DOID_2272,,DB00639,3d7960d0-4aa9-4033-bf2e-4d0c2064e71a.xml,Indication_treatment,Indication: Treatment,3,,
93.0,"Terconazole vaginal cream 0.4% is indicated for the local treatment of vulvovaginal candidiasis (moniliasis). As terconazole vaginal cream 0.4% is effective only for vulvovaginitis caused by the genus Candida, the diagnosis should be confirmed by KOH smears and/or cultures.
",VULVOVAGINAL CANDIDIASIS,TERCONAZOLE,"indication_treatment
indication_treatment
indication_treatment",Indication: Treatment,Indication: Treatment,Indication: Treatment,DOID_2272,,DB00251,8d38d308-d218-4f4e-b7bf-e29acb3a8c56.xml,Indication_treatment,Indication: Treatment,3,,
94.0,"Miconazole Nitrate Vaginal Suppositories USP, 200 mg are indicated for the local treatment of vulvovaginal candidiasis (moniliasis). Effectiveness in pregnancy has not been established. As miconazole nitrate is effective only for candidal vulvovaginitis, the diagnosis should be confirmed by KOH smear and/or cultures. Other pathogens commonly associated with vulvovaginitis (
Trichomonas 
Haemophilus vaginalis [Gardnerella]",VULVOVAGINAL CANDIDIASIS,MICONAZOLE,"indication_treatment
indication_treatment
indication_treatment",Indication: Treatment,Indication: Treatment,Indication: Treatment,DOID_2272,,DB01110,8894a46c-6e2e-402e-b93d-bbfaf6ecb6fa.xml,Indication_treatment,Indication: Treatment,3,,
95.0,"Temsirolimus injection is indicated for the treatment of advanced renal cell carcinoma.
Temsirolimus injection is a kinase inhibitor indicated for the treatment of advanced renal cell carcinoma. (
         
 
    
1",RENAL CELL CARCINOMA,TEMSIROLIMUS,"indication_treatment
indication_treatment
indication_treatment",Indication: Treatment,Indication: Treatment,Indication: Treatment,DOID_4450,,DB06287,736ae550-f75e-98f6-e053-2991aa0a5f87.xml,Indication_treatment,Indication: Treatment,3,,
96.0,"INLYTA is indicated for the treatment of advanced renal cell carcinoma (RCC) after failure of one prior systemic therapy.
INLYTA is a kinase inhibitor indicated for the treatment of advanced renal cell carcinoma after failure of one prior systemic therapy. (
1",RENAL CELL CARCINOMA,AXITINIB,"indication_treatment
indication_treatment
indication_treatment",Indication: Treatment,Indication: Treatment,Indication: Treatment,DOID_4450,,DB06626,50eb7178-6a41-45da-85d0-70c16e5b7a03.xml,Indication_treatment,Indication: Treatment,3,,
97.0,"YONDELIS

[see 
Clinical Studies (14)
YONDELIS is an alkylating drug indicated for the treatment of patients with unresectable or metastatic liposarcoma or leiomyosarcoma who received a prior anthracycline-containing regimen (
1",LEIOMYOSARCOMA,Trabectedin,"indication_treatment
indication_treatment
indication_treatment",Indication: Treatment,Indication: Treatment,Indication: Treatment,DOID_1967,,DB05109,a7038afa-7ea8-11e8-929f-3b9e9d46d017.xml,Indication_treatment,Indication: Treatment,3,,
98.0,"Idarubicin Hydrochloride Injection, USPåÊin combination with other approved antileukemic drugs is indicated for the treatment of acute myeloid leukemia (AML) in adults. This includes French-American-British (FAB) classifications M1 through M7.",ACUTE MYELOID LEUKEMIA,IDARUBICIN,"indication_treatment
indication_treatment
indication_treatment",Indication: Treatment,Indication: Treatment,Indication: Treatment,DOID_9119,,DB01177,23c8614b-c992-4842-9807-c5681c099546.xml,Indication_treatment,Indication: Treatment,3,,
