drug	indication
DB01174	C0017551
DB01174	C1855980
DB01174	C2203646
DB01174	C1963252
DB00925	C1706920
DB00191	C1963185
DB00191	C1963185
DB00191	C0271586
DB00692	C0005129
DB00692	C0020538
DB00692	C0340978
DB00692	C1706920
DB00692	C0020544
DB00692	C0040015
DB00388	C1842028
DB00388	C1866483
DB00388	C0339573
DB00388	C1963179
DB00388	C0520946
DB00388	C0393571
DB00388	C0442874
DB00397	C1963185
DB00397	C0520946
DB00397	C0442874
DB00397	C1963185
DB00397	C0271586
DB00252	C0034219
DB00252	C1560249
DB00252	C0234972
DB00252	C0031117
DB01085	C0020544
DB00337	C0011615
DB00337	C0576224
DB00960	C0020538
DB00960	C0020544
DB01132	C0011860
DB01132	C1852093
DB01132	C1841962
DB01132	C1838100
DB01291	C0027430
DB01291	C1869116
DB00554	C0432215
DB00554	C0029408
DB00554	C0029408
DB00554	C0029408
DB00554	C1843859
DB00707	C0546837
DB00733	C0026896
DB00413	C0242422
DB00413	C0030567
DB00413	C0030567
DB00413	C1876177
DB00175	C1704417
DB00175	C0948008
DB01058	C0036330
DB00457	C0026821
DB00457	C0020538
DB00457	C1962977
DB00457	C0080274
DB00457	C1527263
DB00457	C0034734
DB00457	C0020544
DB00860	C0398701
DB00860	C1300226
DB00860	C1373218
DB00860	C0021831
DB00860	C0520946
DB00860	C1306459
DB00860	C0026769
DB00635	C0002880
DB00635	C0027430
DB00635	C0271270
DB00635	C0004364
DB00635	C0011645
DB00635	C0023418
DB00635	C0398701
DB00635	C0877431
DB00635	C0576224
DB00635	C0020437
DB00635	C1373218
DB00635	C0021831
DB00635	C0520946
DB00635	C0023652
DB00635	C0023448
DB00635	C0338480
DB00635	C1306459
DB00635	C0026769
DB00635	C0026948
DB00635	C0036202
DB00635	C0024141
DB00635	C0043117
DB00230	C1962977
DB00230	C0031117
DB00230	C1876177
DB00750	C1962977
DB00794	C0011265
DB00794	C0234972
DB00794	C1852581
DB00794	C1851549
DB00794	C0014544
DB00794	C0014544
DB00794	C0014544
DB00794	C0014544
DB00794	C0014544
DB00794	C0014544
DB00794	C0393720
DB00794	C0278193
DB00794	C0239313
DB00794	C0751265
DB00794	C0035304
DB00794	C0393615
DB00794	C1963252
DB01035	C2041124
DB01035	C2041124
DB01035	C1560249
DB00721	C1962977
DB00433	C0240041
DB00433	C1963101
DB00433	C0026848
DB00433	C1963179
DB00433	C0031117
DB00433	C0037772
DB00387	C0242422
DB00387	C0030567
DB00387	C0030567
DB00396	C0234972
DB01069	C0520946
DB01069	C0026603
DB01069	C0442874
DB01182	C2041124
DB00647	C1962977
DB00571	C0005745
DB00571	C1560249
DB00571	C0018916
DB00571	C0020538
DB00571	C0338480
DB00571	C0149931
DB00571	C0026267
DB00571	C1706920
DB00571	C0020544
DB00571	C0393615
DB00550	C0018213
DB00852	C0027430
DB00852	C1869116
DB00852	C1963179
DB00852	C0442874
DB00545	C0235025
DB00545	C0026896
DB00114	C0234972
DB00114	C0036572
DB00165	C0234972
DB00165	C0036572
DB01224	C0029421
DB01224	C0036341
DB00881	C0020538
DB00881	C0018784
DB00881	C0020544
DB00908	C2041124
DB00908	C2041124
DB00908	C1560249
DB00468	C0026821
DB01129	C0017168
DB01129	C0850666
DB01129	C1963252
DB00481	C1563292
DB00481	C0006142
DB00481	C1563292
DB00178	C0020538
DB00178	C0018784
DB00178	C0020544
DB00863	C0017168
DB00863	C0021831
DB00863	C1963252
DB01367	C0030567
DB01367	C0030567
DB00899	C1962977
DB00912	C0011860
DB00912	C1852093
DB00912	C1841962
DB00912	C1838100
DB00206	C0020538
DB00206	C0020544
DB00140	C1963179
DB01045	C1968668
DB00884	C1563292
DB00884	C0029401
DB00884	C1563292
DB00884	C0029401
DB00734	C0236792
DB00734	C0240041
DB00734	C1963101
DB00734	C0026848
DB00734	C0040517
DB00734	C0031117
DB00734	C0036341
DB00734	C0037772
DB00989	C0011560
DB00989	C0002395
DB00989	C0242422
DB00989	C0030567
DB00953	C0338480
DB00533	C0338480
DB00268	C0242422
DB00268	C0030567
DB00268	C0030567
DB00268	C1876177
DB00412	C0011860
DB00412	C1852093
DB00412	C1841962
DB00412	C1838100
DB01098	C1704417
DB01001	C0027430
DB01001	C1869116
DB00936	C1834057
DB00936	C0011645
DB00936	C1962977
DB00936	C0678108
DB00938	C0027430
DB00938	C1869116
DB00017	C0020437
DB00017	C0029401
DB00017	C1563292
DB00017	C0029401
DB01399	C1963179
DB01399	C1962977
DB01232	C0004364
DB00747	C0240896
DB00747	C0242422
DB00747	C0014356
DB00747	C0026603
DB00747	C0030567
DB00747	C0030567
DB00747	C1963252
DB00010	C0678108
DB01104	C0011989
DB01104	C0235025
DB01104	C0029421
DB01104	C1868649
DB01105	C1963185
DB01105	C1963185
DB01105	C0271586
DB00203	C0152171
DB00203	C0020544
DB00641	C1704417
DB01261	C0011860
DB01261	C1852093
DB01261	C1841962
DB01261	C1838100
DB00464	C0042345
DB00398	C1512411
DB00398	C0007134
DB00398	C0007134
DB00398	C0206682
DB00489	C2041124
DB00489	C2041124
DB00421	C0034219
DB00421	C0008732
DB00421	C0398701
DB00421	C1300226
DB00421	C0020538
DB00421	C0678108
DB00421	C0020544
DB00428	C0019829
DB00364	C0017168
DB00364	C0020544
DB00364	C1963252
DB00795	C0034219
DB00795	C0678202
DB00605	C0032580
DB00605	C0432215
DB00605	C1442903
DB00605	C1962977
DB00605	C0029408
DB00605	C0029408
DB00605	C0029408
DB00605	C1843859
DB00669	C0338480
DB00669	C0149931
DB01268	C0007134
DB01268	C0007134
DB00382	C0011560
DB00382	C0002395
DB00382	C0242422
DB00864	C0011615
DB00820	C0152171
DB00820	C0020544
DB00675	C0006142
DB00675	C0242292
DB00706	C0026821
DB00706	C1962977
DB00706	C0403720
DB00706	C1527263
DB00966	C0020538
DB00966	C0085580
DB00966	C0020544
DB00853	C0151779
DB00853	C0151779
DB00853	C1306459
DB06287	C0007134
DB06287	C0007134
DB00444	C0023418
DB00444	C0019829
DB00444	C0023434
DB00444	C0023448
DB00444	C0024302
DB00444	C0149925
DB01162	C0026821
DB01162	C0020458
DB01162	C0020538
DB01162	C1962977
DB01162	C0080274
DB01162	C1527263
DB01162	C0020544
DB00871	C0027430
DB00871	C1869116
DB00871	C0034067
DB00342	C0520946
DB06285	C1563292
DB06285	C0577559
DB06285	C1563292
DB00624	C0006142
DB00624	C0087012
DB00624	C0151721
DB04844	C0020179
DB00759	C0017677
DB00759	C0850666
DB00759	C0678108
DB01041	C1968668
DB01041	C0026764
DB00277	C0027430
DB00277	C1869116
DB00277	C0034067
DB00352	C0023467
DB00679	C0036341
DB01623	C0036341
DB00906	C0234972
DB00208	C0040053
DB01133	C0029401
DB01133	C0029401
DB00373	C1842028
DB00373	C1866483
DB00373	C0339573
DB00373	C0020538
DB00373	C0338480
DB00373	C0149931
DB00373	C0020544
DB00775	C0010068
DB00697	C0026821
DB00697	C0026838
DB00697	C0338480
DB00697	C0027121
DB00697	C0040997
DB00839	C0011860
DB00839	C1852093
DB00839	C1841962
DB00839	C1838100
DB01124	C0011860
DB01124	C1852093
DB01124	C1841962
DB01124	C1838100
DB00323	C0030567
DB00323	C0030567
DB00500	C0432215
DB00500	C0029408
DB00500	C0029408
DB00500	C0029408
DB00500	C1843859
DB00273	C1843776
DB00273	C0270855
DB00273	C1962977
DB00273	C0338480
DB00273	C0149931
DB00273	C0037769
DB00273	C0271586
DB01030	C1306459
DB01030	C0149925
DB00214	C0008732
DB00214	C0398701
DB00214	C1300226
DB00214	C0020538
DB00214	C0018784
DB00214	C0029435
DB00214	C0020544
DB00193	C1962977
DB00193	C1876177
DB00519	C0020538
DB00519	C0018784
DB00519	C0020544
DB00302	C0019069
DB00302	C0019069
DB00302	C0019069
DB00302	C0019069
DB00302	C0019069
DB00287	C1842028
DB00287	C1866483
DB00287	C0339573
DB00287	C0020544
DB00374	C0152171
DB00374	C0020544
DB00755	C0155211
DB00755	C1962962
DB00755	C0022603
DB00755	C0023652
DB00755	C1306459
DB00755	C0678108
DB00620	C0034219
DB00620	C0027430
DB00620	C0006840
DB00620	C0023418
DB00620	C0877431
DB00620	C0520946
DB00620	C0022548
DB00620	C0023652
DB00620	C0031117
DB00620	C0032027
DB00620	C0036202
DB00620	C0024141
DB00620	C0043117
DB00384	C0023890
DB00384	C0008732
DB00384	C0034067
DB00384	C0398701
DB00384	C1300226
DB00831	C0036341
DB00508	C1963179
DB00508	C1962977
DB00376	C0030567
DB00440	C0027430
DB00440	C0029882
DB00440	C0678108
DB01157	C0004364
DB03904	C0032027
DB00580	C0432215
DB00580	C0029408
DB00580	C0029408
DB00580	C0029408
DB00580	C1843859
DB00313	C0034219
DB00313	C0011560
DB00313	C0002395
DB00313	C0234972
DB00313	C0242422
DB00313	C0036572
DB00313	C0036341
DB00385	C0005684
DB00177	C0020538
DB00177	C0020544
DB00067	C0687720
DB00067	C0687720
DB00285	C1263846
DB00285	C1843776
DB00285	C0011989
DB00285	C1962977
DB00285	C0029421
DB00285	C1868649
DB00661	C0026821
DB00661	C2041124
DB00661	C2041124
DB00661	C1560249
DB00661	C1861864
DB00661	C0020538
DB00661	C0338480
DB00661	C0020544
DB01080	C0234972
DB01080	C0270855
DB01080	C0037769
DB00570	C0006142
DB00570	C0019829
DB00570	C0036220
DB00570	C1306459
DB00570	C0026948
DB00570	C0039590
DB00570	C0043117
DB00541	C0023418
DB00541	C0019829
DB00541	C0032580
DB00541	C0023467
DB00541	C0023434
DB00541	C0023448
DB00541	C1306459
DB00541	C0026764
DB00541	C0700095
DB00541	C0024302
DB00541	C0206655
DB00541	C0037772
DB00541	C0027708
DB00361	C0019829
DB00162	C0042842
DB00162	C0042842
DB00126	C0036474
DB00126	C0162316
DB00126	C0025637
DB00163	C0026821
DB00163	C0011560
DB00163	C0002395
DB00163	C0242422
DB00163	C0270871
DB00163	C0268523
DB00163	C0398746
DB00163	C0340969
DB00163	C0042875
DB02546	C1306459
DB02546	C0026948
DB00682	C0085278
DB00682	C2041124
DB00682	C2041124
DB00682	C0007785
DB00682	C0038454
DB00682	C0948008
DB00549	C0027430
DB00744	C0027430
DB00744	C1869116
DB00246	C0040517
DB00246	C0036341
DB00399	C1563292
DB00399	C0020437
DB00399	C0029401
DB00399	C0007134
DB00399	C1306459
DB00399	C0026764
DB00399	C0029401
DB00315	C0338480
DB00909	C0011265
DB00909	C0234972
DB00909	C0014544
DB00909	C0014544
DB00909	C0014544
DB00909	C0014544
DB00909	C0014544
DB00909	C0014544
DB00909	C0239313
DB00909	C0751265
DB00909	C0036572
DB00909	C0035304
DB00909	C0393615
