DRUG_ID	DRUG_NAME	INDICATION_FDB	UMLS_CUI	SNOMEDCT_CUI	DOID
1261	fusidic acid	Rosacea	C0035854	398909004	DOID:8881
645	cimetidine	Indigestion	C0013395	162031009	DOID:2321
645	cimetidine	Upper GI Bleed Prevention			
640	cilastatin	Bacterial pneumonia	C0004626	53084003	DOID:874
725	codeine	Cough	C0010200	49727002	
725	codeine	Common cold	C0009443	82272006	DOID:10459
725	codeine	Fever	C0015967	386661006	
734	cortisone acetate	Granuloma annulare	C0085074	65508009	DOID:3777
734	cortisone acetate	Severe adrenal insufficiency	C0151467	24867002	
734	cortisone acetate	Pemphigus	C0030807	65172003	DOID:9182
734	cortisone acetate	Asthma	C0004096	195967001	DOID:2841
814	desloratadine	Vasomotor rhinitis	C0035460	8229003	DOID:4730
824	dexamethasone	Dermatitis herpetiformis	C0011608	111196000	DOID:8505
824	dexamethasone	Blepharoconjunctivitis	C0005743	68659002	DOID:2456
824	dexamethasone	Corneal abrasion	C0010032	85848002	
824	dexamethasone	Infective otitis media	C0729586	312218008	
2358	ranitidine	Erosive esophagitis	C0267055	40719004	
2446	sirolimus	Prevention of Kidney Transplant Rejection			
2436	sertraline	Premenstrual dysphoric disorder	C0520676	596004	
2416	salicylic acid	Allergic rhinitis	C2607914	61582004	
1417	idoxuridine	Herpes simplex keratitis	C0019357	9389005	
1423	imatinib	Chronic Myelocytic Leukemia Accelerated Phase			
1423	imatinib	Systemic mast cell disease	C0221013	397016004	DOID:349
1569	levofloxacin	Acute Moraxella catarrhalis bronchitis	C0339932	195722003	
1540	lamotrigine	Epilepsy	C0014544	84757009	DOID:1826
1546	lanreotide	Acromegaly	C0001206	74107003	DOID:2449
1709	meropenem	Pseudomonas Aeruginosa Complicated Appendicitis			
1662	medrysone	Iritis	C0022081	65074000	DOID:1406
1603	loracarbef	Upper respiratory infection	C0041912	54150009	DOID:10459
1603	loracarbef	Chronic pyelonephritis	C0085697	63302006	DOID:1076
1768	methylprednisolone	Mycosis fungoides	C0026948	118618005	DOID:8691
1768	methylprednisolone	Asthma	C0004096	195967001	DOID:2841
1768	methylprednisolone	Rheumatoid arthritis	C0003873	69896004	DOID:7148
1744	meticillin	Bacterial septicemia	C0684256	10001005	
1836	montelukast	Exercise-Induced Bronchospasm Prevention			
1790	metronidazole	Peptostreptococcus Liver Abscess			
1813	minocycline	Bronchitis	C0006277	32398004	DOID:6132
1832	mometasone furoate	Pruritus of genital organs	C0033777	267802000	
1869	nafcillin	Infection of skin AND/OR subcutaneous tissue	C0178299	19824006	
1967	norfloxacin	Pneumonia due to Klebsiella pneumoniae	C0519030	64479007	
1967	norfloxacin	Staphylococcus Epidermidis Urinary Tract Infection			
1967	norfloxacin	Skin and Skin Structure Morganella Morganii Infection			
1968	norgestimate	Contraception	C0700589	13197004	
1967	norfloxacin	Chlamydia Pneumoniae Bronchitis			
1922	nifedipine	Angina pectoris	C0002962	194828000	
1943	nitazoxanide	Giardiasis	C0017536	58265007	DOID:10718
1937	nimodipine	Subarachnoid intracranial hemorrhage	C0038525	21454007	
2100	perazine	Anxiety	C0003467	48694002	
2098	pentostatin	Hairy cell leukemia	C0023443	118613001	DOID:285
2082	benzylpenicillin	Septicemia due to enterococcus	C0588233	310669007	
2073	pemetrexed	Malignant mesothelioma of pleura	C0812413	254645002	DOID:7474
2082	benzylpenicillin	Streptococcal toxic shock syndrome	C0343532	240451000	
2082	benzylpenicillin	Upper Respiratory Infection due to Neisseria Meningitidis			
2146	phenylephrine	Sneezing	C0037383	76067001	
2140	phentermine	Low blood pressure	C0020649	45007003	
2187	piperacillin	Skin and Skin Structure Proteus Infection			
2179	pioglitazone	Diabetes mellitus type 2	C0011860	44054006	DOID:9352
2253	prednisone	Crohn's disease	C0010346	34000006	
2245	prednisolone	Ulcerative colitis	C0009324	64766004	DOID:8577
2245	prednisolone	Eosinophilic asthma	C1527407	367542003	DOID:5870
2245	prednisolone	Primary adrenocortical insufficiency	C0001403	373662000	DOID:13774
2245	prednisolone	Disorder of musculoskeletal system	C0026857	928000	DOID:17
2243	prednicarbate	Atopic dermatitis	C0011615	24079001	DOID:3310
2303	propranolol	Essential tremor	C3543433	609558009	DOID:4990
2279	progesterone	Amenorrhea Secondary to Ovarian Dysfunction			
2279	progesterone	Menopausal flushing	C0600142	198436008	
2726	triamcinolone acetonide	Tendinitis	C0039503	34840004	DOID:971
2832	thiamine	Cobalamin deficiency	C0042847	190634004	
2807	vancomycin	Staphylococcus Epidermidis Skin and Skin Structure Infection			
2777	trovafloxacin	Haemophilus influenzae pneumonia	C0276026	70036007	
2795	uracil mustard	Non-Hodgkin's lymphoma	C0024305	118601006	DOID:8675
2795	uracil mustard	Polycythemia vera	C0032463	109992005	DOID:8432
2774	tropicamide	Perioperative Mydriasis			
3282	hydroquinone	Facial Hyperpigmentation			
3135	desonide	Seborrheic dermatitis	C0036508	50563003	DOID:8741
3063	capreomycin	Acute tuberculosis	C0275959	25629007	
2974	doxacurium	General anesthesia	C0002915	50697003	
4182	rivaroxaban	Prevention of deep vein thrombosis	C2585945	439993001	
4184	ticagrelor	Acute coronary syndrome	C0948089	394659003	
4265	gentamicin	Pseudomonas Aeruginosa Meningitis			
4246	Polymyxin B	Blepharoconjunctivitis	C0005743	68659002	DOID:2456
4456	hydrocortisone succinate	Synovitis	C0039103	416209007	DOID:2703
4456	hydrocortisone succinate	Non-Hodgkin's lymphoma	C0024305	118601006	DOID:8675
4411	dexchlorpheniramine	Dermatographic urticaria	C0343065	7632005	DOID:743
4493	alclometasone dipropionate	Contact dermatitis	C0011616	40275004	DOID:2773
4454	testosterone cypionate	Deficiency of testosterone biosynthesis	C0342527	38825009	
3931	dolasetron	Prevention of Post-Operative Nausea and Vomiting			
2481	streptomycin	Bacterial urinary infection	C0729524	312124009	
2616	thalidomide	Multiple myeloma	C0026764	109989006	DOID:9538
2583	telmisartan	Hypertensive disorder	C0020538	38341003	DOID:10763
2572	tazobactam	Inflammatory Disease of Female Pelvic Organs			
2725	triamcinolone	Synovitis	C0039103	416209007	DOID:2703
2725	triamcinolone	Articular gout	C0003868	48440001	DOID:13189
2722	tretinoin	Acute promyelocytic leukemia, FAB M3	C0023487	110004001	DOID:0060318
2656	ticarcillin	Pneumonia due to Escherichia coli	C0276089	51530003	
2684	tobramycin	Urinary tract infection caused by Klebsiella	C4076057	369001000119100	
2684	tobramycin	Synergy for Neonatal Meningitis			
2633	thiopental	General anesthesia	C0002915	50697003	
2728	triamterene	Peripheral Edema due to Chronic Heart Failure			
2755	trimethoprim	Pneumocystosis jiroveci pneumonia	C0032305	415125002	DOID:11339
2755	trimethoprim	Streptococcus Pneumoniae Chronic Bronchitis			
802	demeclocycline	Anthrax	C0003175	409498004	DOID:7427
814	desloratadine	Seasonal allergic rhinitis	C0018621	367498001	
782	dapsone	Acne vulgaris	C0001144	88616000	
824	dexamethasone	Eruption of skin	C0015230	271807003	DOID:0050486
824	dexamethasone	Exacerbation of asthma	C0349790	281239006	
819	desoximetasone	Plaque psoriasis	C0406317	200965009	
865	diclofenac	Osteoarthritis	C0029408	396275006	DOID:381
854	diazoxide	Hyperinsulinism	C0020459	83469008	DOID:2018
4510	magnesium salicylate	Backache	C0004604	161891005	
4565	hematin	Megaloblastic anemia due to folate deficiency	C0151482	85649008	DOID:14026
4566	sodium oxybate	Cataplexy and narcolepsy	C0751362	193042000	
4566	sodium oxybate	Narcolepsy	C0027404	60380001	DOID:8986
4520	potassium hydrogencarbonate	Peptic ulcer	C0030920	13200003	DOID:750
4526	aluminum carbonate	Duodenal ulcer disease	C0013295	51868009	DOID:1724
26	fluorouracil	Adenocarcinoma of pancreas	C0281361	700423003	DOID:4074
40	acebutolol	Hypertensive disorder	C0020538	38341003	DOID:10763
157	amikacin	Pseudomonas Aeruginosa Biliary Tract Infection			
192	amoxicillin	Acute otitis media	C0271429	3110003	
197	amphotericin B	Rhinocerebral Phycomycosis			
197	amphotericin B	Invasive pulmonary aspergillosis	C0276653	3214003	
197	amphotericin B	Sexually Transmitted Epididymo-Orchitis			
249	astemizole	Sneezing	C0037383	76067001	
224	antazoline	Vasomotor rhinitis	C0035460	8229003	DOID:4730
279	aztreonam	Citrobacter Urinary Tract Infection			
279	aztreonam	Bacterial urinary infection	C0729524	312124009	
277	azlocillin	Enterobacter Pneumonia			
342	bepridil	Angina pectoris	C0002962	194828000	
348	betamethasone	Disorder of eye	C0015397	371405004	DOID:5614
374	biperiden	Extrapyramidal disease	C0015371	76349003	
348	betamethasone	Nephrotic syndrome	C0027726	52254009	DOID:1184
349	betamethasone acetate	Acute lymphoid leukemia	C0023449	91857003	DOID:9952
441	butalbital	Tension-type headache	C0033893	398057008	
475	candesartan cilexetil	Hypertensive disorder	C0020538	38341003	DOID:10763
546	cefotaxime	Streptococcal meningitis	C0154639	4510004	DOID:11574
546	cefotaxime	E. Coli Peritonitis			
546	cefotaxime	Infection of bone	C2242472	111253001	
535	cefepime	Urinary tract infection caused by Klebsiella	C4076057	369001000119100	
535	cefepime	Klebsiella cystitis	C0520775	60867007	
542	cefonicid	Klebsiella cystitis	C0520775	60867007	
530	cefazolin	Lower respiratory tract infection	C0149725	50417007	
527	cefamandole	Bacterial infection due to Klebsiella pneumoniae	C0343402	186435004	
559	ceftazidime	Meningococcal meningitis	C0025294	192644005	
555	cefpodoxime proxetil	Haemophilus Influenzae Acute Otitis Media			
555	cefpodoxime proxetil	Streptococcal tonsillitis	C0275804	41582007	
547	cefotetan	Proteus urinary tract infection	C0577709	301012009	
550	cefoxitin	Sepsis due to Staphylococcus aureus	C2887088	448417001	
564	ceftriaxone	Pneumonia due to Escherichia coli	C0276089	51530003	
564	ceftriaxone	Disseminated Gonococcal Infection			
576	cefradine	Urinary tract infectious disease	C0042029	68566005	
575	cefapirin	Pneumonia due to Streptococcus	C0155862	34020007	
645	cimetidine	Gastroesophageal reflux disease	C0017168	235595009	DOID:8534
640	cilastatin	Infectious disease of abdomen	C1112209	128070006	
734	cortisone acetate	Congenital hypoplastic anemia	C1260899	88854002	DOID:1339
734	cortisone acetate	Bursitis	C0006444	84017003	DOID:2965
760	ciclosporin	Severe Recalcitrant Psoriasis			
1261	fusidic acid	Keratoconjunctivitis	C0022573	88151007	DOID:9368
1261	fusidic acid	Acute gonococcal endometritis	C0153196	65295003	DOID:7527
1225	fluticasone propionate	Asthma management	C1318955	406162001	
1261	fusidic acid	Complicated Proteus UTI			
1225	fluticasone propionate	COPD Associated with Chronic Bronchitis			
1208	fluorometholone	Herpes zoster keratitis	C1275687	397573005	
1208	fluorometholone	Cyclitis	C0010543	17657000	
1170	fexofenadine	Chronic idiopathic urticaria	C0578870	302162004	
1277	ganciclovir	Prevention of CMV Disease After Kidney-Pancreas Transplantation			
1353	haloperidol	Gilles de la Tourette's syndrome	C0040517	5158005	DOID:11119
1388	hydrocortisone	Cerebral edema	C0006114	2032001	DOID:4724
1566	levocetirizine	Seasonal allergic rhinitis	C0018621	367498001	
1709	meropenem	Complicated appendicitis	C1632842	418171008	
1709	meropenem	E. Coli Complicated Appendicitis			
1641	mebendazole	Necator Americanus Infection			
1763	methylthioninium chloride	Methemoglobinemia	C0025637	38959009	DOID:10783
1742	methdilazine	Itching of skin	C0033774	418363000	
1726	methacholine	Diagnostic Test for Asthma			
1790	metronidazole	Skin and Skin Structure Clostridium Infection			
1790	metronidazole	Clostridium Septicemia			
1827	moexipril	Hypertensive disorder	C0020538	38341003	DOID:10763
1800	miconazole	Diaper rash	C0011974	91487003	
1527	ketoconazole	Pityriasis simplex	C0423775	200767005	
1423	imatinib	Chronic phase chronic myeloid leukemia	C0023474	413847001	
1575	levosalbutamol	Acute exacerbation of asthma	C0347950	708038006	
882	digoxin	Atrial fibrillation	C0004238	49436004	DOID:0060224
961	doxycycline	Scrub typhus	C0036472	271425001	DOID:13371
954	doxazosin	Hypertensive disorder	C0020538	38341003	DOID:10763
962	doxylamine	Itching of skin	C0033774	418363000	
1027	epinastine	Ocular Itching			
1057	estradiol	Advanced Prostatic Carcinoma			
1046	ertapenem	Diabetic Foot Infection			
1046	ertapenem	Streptococcal Septic Abortion			
2831	retinol	Mineral deficiency	C0687148	111379007	
1783	metolazone	Hypertensive disorder	C0020538	38341003	DOID:10763
1889	nedocromil	Allergic conjunctivitis	C0009766	473460002	DOID:11204
1981	ofloxacin	Complicated UTI with Pseudomonas Aeruginosa			
1981	ofloxacin	Pseudomonas Aeruginosa Joint Infection			
1967	norfloxacin	Complicated Skin and Skin Structure Staphylococcus Aureus Infection			
1981	ofloxacin	Infectious diarrheal disease	C0013369	19213003	DOID:12384
2034	oxymorphone	Chronic Pain with Opioid Tolerance			
2001	oseltamivir	Influenza	C0021400	6142004	DOID:8469
2100	perazine	Chemotherapy-induced nausea and vomiting	C0401160	236084000	
2082	benzylpenicillin	Streptococcus Myositis			
2146	phenylephrine	Nasal discharge	C1260880	64531003	
2149	phenylpropanolamine	Influenza-like symptoms	C0392171	315642008	
2187	piperacillin	Infection due to Staphylococcus aureus	C1318973	406602003	
2253	prednisone	Non-Hodgkin's lymphoma	C0024305	118601006	DOID:8675
2245	prednisolone	Articular gout	C0003868	48440001	DOID:13189
2245	prednisolone	Severe adrenal insufficiency	C0151467	24867002	
2267	primidone	Epilepsy characterized by intractable complex partial seizures	C2711653	442481002	
2271	procaine	Local anesthesia	C0002921	386761002	
2326	pseudoephedrine	Nasal congestion	C0027424	68235000	
2403	ropivacaine	Anesthesia for cesarean section	C0199008	4847005	
2346	quinidine	Atrial fibrillation	C0004238	49436004	DOID:0060224
2499	sulfacytine	Bacterial urinary infection	C0729524	312124009	
2607	testosterone	Bilateral orchidectomy	C0007347	386634006	
2589	temozolomide	Astrocytoma, anaplastic	C0334579	55353007	DOID:3078
2725	triamcinolone	Allergic Rhinitis Prevention			
2656	ticarcillin	Abscess of lung	C0024110	73452002	DOID:0060317
2656	ticarcillin	Skin and Skin Structure Pseudomonas Aeruginosa Infection			
2621	thiabendazole	Necator Americanus Infection			
2646	levothyroxine	Myxedema	C0027145	43153006	DOID:11634
2727	triamcinolone diacetate	Tendinitis	C0039503	34840004	DOID:971
4162	dexlansoprazole	Erosive esophagitis	C0267055	40719004	
4265	gentamicin	Synergy for Skin and Skin Structure Pseudomonas Aeruginosa Infection			
4265	gentamicin	Bacterial meningitis	C0085437	95883001	DOID:9470
4459	procaine benzylpenicillin	Streptococcal tonsillitis	C0275804	41582007	
4459	procaine benzylpenicillin	Infection of skin AND/OR subcutaneous tissue	C0178299	19824006	
192	amoxicillin	Pneumonia due to Streptococcus	C0155862	34020007	
197	amphotericin B	Coccidioidomycosis	C0009186	60826002	DOID:13450
197	amphotericin B	Infective otitis media	C0729586	312218008	
279	aztreonam	Skin and Skin Structure Proteus Infection			
348	betamethasone	Systemic lupus erythematosus	C0024141	55464009	DOID:9074
356	betaxolol	Hypertensive disorder	C0020538	38341003	DOID:10763
463	caffeine	Headache disorder	C0393735	230461009	
492	carbenicillin	Enterobacter Prostatitis			
512	carmustine	Malignant neoplasm of brain	C0153633	428061005	DOID:1319
4515	magnesium gluconate	Incomplete passage of stool	C0426639	249515001	
102	alatrofloxacin	Haemophilus Parainfluenzae Bronchitis			
150	amcinonide	Granuloma annulare	C0085074	65508009	DOID:3777
119	aliskiren	Hypertensive disorder	C0020538	38341003	DOID:10763
2840	colecalciferol	Postmenopausal osteoporosis	C0029458	102447009	
2845	voglibose	Glucosylceramide beta-glucosidase deficiency	C0017205	190794006	DOID:1926
2868	zoledronic acid	Hypogonadal Osteoporosis in Males			
3617	tolnaftate	Tinea cruris	C1384589	399029005	
4106	sucralfate	Duodenal ulcer disease	C0013295	51868009	DOID:1724
3356	methyltestosterone	Primary Hypogonadism due to Bilateral Torsion			
3369	naphazoline	Ocular Itching			
3577	oxedrine	Eustachian Tube Congestion			
3333	meclocycline	Bronchitis	C0006277	32398004	DOID:6132
4244	magnesium hydroxide	Gastric Hypersecretory Conditions			
4213	hydrocortisone acetate	Pemphigus	C0030807	65172003	DOID:9182
4240	zinc oxide	Pityriasis versicolor	C0040262	56454009	DOID:9060
1209	fluoxetine	Bulimia nervosa	C2267227	78004001	DOID:12129
1171	finasteride	Benign prostatic hyperplasia	C1739363	266569009	DOID:2883
1277	ganciclovir	Herpes simplex dendritic keratitis	C0022570	29943008	
537	cefixime	Acute gonococcal urethritis	C0275652	29864006	
546	cefotaxime	Infectious disease of abdomen	C1112209	128070006	
535	cefepime	Infection due to Staphylococcus aureus	C1318973	406602003	
535	cefepime	Pneumonia due to Pseudomonas	C0155860	41381004	
525	cefaclor	Acute Moraxella catarrhalis bronchitis	C0339932	195722003	
525	cefaclor	Tonsillitis	C0040425	90176007	DOID:10456
525	cefaclor	Streptococcal tonsillitis	C0275804	41582007	
533	cefdinir	Moraxella Catarrhalis Pneumonia			
559	ceftazidime	E. Coli Cervicitis			
547	cefotetan	Fusobacterium Endometritis			
547	cefotetan	Streptococcal Endometritis			
550	cefoxitin	Peptococcus Pelvic Inflammatory Disease			
564	ceftriaxone	Staphylococcal meningitis	C0154640	12166008	
564	ceftriaxone	Adult Gonococcal Conjunctivitis			
563	ceftizoxime	Bacteroides Joint Infection			
564	ceftriaxone	Chancroid	C0007947	266143009	DOID:13778
563	ceftizoxime	Peptostreptococcus Osteomyelitis			
576	cefradine	Haemophilus influenzae pneumonia	C0276026	70036007	
575	cefapirin	Proteus Mirabilis Osteomyelitis			
565	cefuroxime	Staphylococcal septicemia	C0152965	111821004	
589	chloramphenicol	H. Influenzae Meningitis			
621	chlorpromazine	Schizophrenia	C0036341	58214004	
659	ciprofloxacin	Infection due to Enterobacteriaceae	C0014347	128945009	
659	ciprofloxacin	Acute Moraxella catarrhalis bronchitis	C0339932	195722003	
669	clavulanic acid	Acute bacterial sinusitis	C0275556	75498004	
666	citric acid	Pain	C0030193	22253000	
734	cortisone acetate	Sarcoidosis	C0036202	31541009	DOID:11335
734	cortisone acetate	Systemic Dermatomyositis			
734	cortisone acetate	Systemic lupus erythematosus	C0024141	55464009	DOID:9074
734	cortisone acetate	Recurrent herpes simplex labialis	C1274321	402892009	
824	dexamethasone	Humoral hypercalcemia of malignancy	C0149911	47709007	
824	dexamethasone	Scalp psoriasis	C0406326	238608008	
819	desoximetasone	Pruritus of genital organs	C0033777	267802000	
838	dexpanthenol	Disorder of skin	C0037274	95320005	DOID:37
830	dexbrompheniramine	Dermatographic urticaria	C0343065	7632005	DOID:743
916	diphenhydramine	Allergic conjunctivitis	C0009766	473460002	DOID:11204
916	diphenhydramine	Vasomotor rhinitis	C0035460	8229003	DOID:4730
960	doxorubicin	Hodgkin's disease	C0019829	118599009	DOID:8651
961	doxycycline	Lymphogranuloma venereum	C0024286	186946009	DOID:13819
961	doxycycline	Rocky Mountain spotted fever	C0035793	186772009	
961	doxycycline	Acute gonococcal cervicitis	C0153195	20943002	DOID:10615
956	doxepin	Severe major depression with psychotic features	C0270458	73867007	
949	dorzolamide	Open-angle glaucoma	C0017612	84494001	DOID:1067
939	docetaxel	Malignant tumor of head and/or neck	C0278996	255056009	
1024	ephedrine	Sinus headache	C0037195	4969004	
1024	ephedrine	Bronchitis	C0006277	32398004	DOID:6132
1051	erythromycin ethyl succinate	Burn Wound Infections			
1046	ertapenem	Postpartum Endomyometritis due to Peptostreptococcus			
1154	fenoprofen	Rheumatoid arthritis	C0003873	69896004	DOID:7148
1077	ethaverine	Peripheral vascular disease	C0085096	400047006	
1261	fusidic acid	Herpes zoster keratitis	C1275687	397573005	
1567	levodopa	Parkinsonism	C0242422	32798002	DOID:13548
1239	formoterol	COPD Associated with Chronic Bronchitis			
1261	fusidic acid	Septicemia due to Escherichia coli	C0276088	9323009	
1261	fusidic acid	Anthrax	C0003175	409498004	DOID:7427
1261	fusidic acid	Synergy for Staphylococcal Joint Infection			
1261	fusidic acid	Peritonitis	C0031154	48661000	
659	ciprofloxacin	Complicated UTI with Pseudomonas Aeruginosa			
669	clavulanic acid	Bacteroides Peritonitis			
668	clarithromycin	Infection due to Staphylococcus aureus	C1318973	406602003	
2656	ticarcillin	Infection of skin AND/OR subcutaneous tissue	C0178299	19824006	
2684	tobramycin	Infection due to Enterobacteriaceae	C0014347	128945009	
348	betamethasone	Sarcoidosis	C0036202	31541009	DOID:11335
380	bisoprolol	Hypertensive disorder	C0020538	38341003	DOID:10763
395	brimonidine	Open-angle glaucoma	C0017612	84494001	DOID:1067
384	bitolterol	Bronchitis	C0006277	32398004	DOID:6132
2150	phenyltoloxamine	Dermatographic urticaria	C0343065	7632005	DOID:743
2253	prednisone	Mycosis fungoides	C0026948	118618005	DOID:8691
2253	prednisone	Contact dermatitis	C0011616	40275004	DOID:2773
734	cortisone acetate	Rosacea	C0035854	398909004	DOID:8881
802	demeclocycline	Haemophilus Influenzae Acute Otitis Media			
811	desflurane	General anesthesia	C0002915	50697003	
779	danazol	Endometriosis	C0014175	129103003	DOID:289
785	dasatinib	Philadelphia Chromosome Positive Chronic Myelocytic Leukemia			
2807	vancomycin	Prosthetic Heart Valve Endocarditis			
2816	verteporfin	Pathologic Myopia			
3096	cholic acid	Calculus in biliary tract	C0008350	266474003	
431	levobunolol	Ocular hypertension	C0028840	4210003	DOID:9282
454	butorphanol	Sedation as Adjunct to Anesthesia			
537	cefixime	Streptococcal tonsillitis	C0275804	41582007	
542	cefonicid	Urinary tract infectious disease	C0042029	68566005	
525	cefaclor	Upper respiratory infection	C0041912	54150009	DOID:10459
525	cefaclor	Haemophilus Influenzae Bronchitis			
527	cefamandole	Urinary tract infectious disease	C0042029	68566005	
533	cefdinir	Streptococcus Pneumoniae Bronchitis			
2245	prednisolone	Disorder of eye	C0015397	371405004	DOID:5614
2236	pramlintide	Type 1 Diabetes Mellitus Treatment Adjunct			
2243	prednicarbate	Pruritus of genital organs	C0033777	267802000	
2326	pseudoephedrine	Nasal discharge	C1260880	64531003	
2415	salicylamide	Headache disorder	C0393735	230461009	
913	dinoprostone	Pregnancy with abortive outcome	C0156543	363681007	
961	doxycycline	Chlamydia trachomatis infection of genital structure	C1997322	428015005	
961	doxycycline	Cutaneous anthrax	C0003177	84980006	DOID:7426
941	docusate sodium	Constipation	C0009806	14760008	DOID:2089
2974	doxacurium	Muscle relaxation, function	C0026836	11977004	
2840	colecalciferol	Hypoparathyroidism	C0020626	36976004	DOID:11199
2862	zileuton	Allergic asthma	C0155877	389145006	DOID:9415
3909	clindamycin phosphate	Aspiration pneumonia	C0032290	422588002	DOID:3240
559	ceftazidime	Pneumonia due to Pseudomonas	C0155860	41381004	
556	cefprozil	Acute otitis media	C0271429	3110003	
547	cefotetan	E. Coli Peritonitis			
550	cefoxitin	Abdominal abscess	C0243001	75100008	
550	cefoxitin	Postoperative infection	C0392618	33910007	
550	cefoxitin	Transurethral Prostatectomy Infection Prevention			
593	chlorcyclizine	Common cold	C0009443	82272006	DOID:10459
607	chloroquine	Malaria Prevention			
2350	rabeprazole	Duodenal Ulcer due to H. Pylori			
2350	rabeprazole	Multiple endocrine adenomas	C0027662	60549007	
2332	pyrimethamine	Chloroquine Resistant Plasmodium Falciparum Malaria			
2416	salicylic acid	Osteoarthritis	C0029408	396275006	DOID:381
2419	salmeterol	Bronchospasm Prevention with COPD			
2529	sulfafurazole	Chlamydia Cervicitis			
2514	sulfamethoxazole	Pneumocystis Carinii Pneumonia Prevention			
920	diphenylpyraline	Anaphylaxis Adjunct			
1019	entecavir	Chronic type B viral hepatitis	C0524909	61977001	
1051	erythromycin ethyl succinate	Infectious disease of abdomen	C1112209	128070006	
1046	ertapenem	Haemophilus influenzae pneumonia	C0276026	70036007	
1046	ertapenem	Peptostreptococcus infection	C1096562	135341000119101	
4213	hydrocortisone acetate	Rheumatoid arthritis	C0003873	69896004	DOID:7148
659	ciprofloxacin	Septicemia due to Escherichia coli	C0276088	9323009	
645	cimetidine	Maintenance of Healing Duodenal Ulcer			
632	cyclacillin	Pharyngitis	C0031350	405737000	DOID:2275
640	cilastatin	Peritonitis	C0031154	48661000	
678	clindamycin	Pneumococcal pneumonia	C0155862	233607000	
669	clavulanic acid	Klebsiella cystitis	C0520775	60867007	
669	clavulanic acid	Bacterial septicemia	C0684256	10001005	
668	clarithromycin	Acute bacterial bronchitis	C0339933	233598009	
692	clofazimine	Dapsone resistant leprosy	C1563054	416597004	
725	codeine	Nasal congestion	C0027424	68235000	
720	cloxacillin	Continuation Therapy for Chronic Osteomyelitis			
719	clotrimazole	Candidal vulvovaginitis	C0700345	72605008	DOID:2272
734	cortisone acetate	Eruption of skin	C0015230	271807003	DOID:0050486
2468	spectinomycin	Disseminated Gonococcal Infection			
2620	theophylline	Asthma	C0004096	195967001	DOID:2841
2725	triamcinolone	Erythema multiforme	C0014742	36715001	
1098	etidronic acid	Osteitis deformans	C0029401	2089002	DOID:5408
1110	etonogestrel	Contraception	C0700589	13197004	
1128	famciclovir	Suppression of Recurrent Herpes Simplex Infection			
4201	calcium chloride	Hypokalemia	C0020621	43339004	
4253	macrogol	Incomplete passage of stool	C0426639	249515001	
4247	neomycin	Mastoidectomy Cavity Infections			
4247	neomycin	Urinary tract infectious disease	C0042029	68566005	
4452	clobetasol propionate	Seborrheic dermatitis	C0036508	50563003	DOID:8741
734	cortisone acetate	Allergic conjunctivitis	C0009766	473460002	DOID:11204
749	cyclizine	Seasonal allergic rhinitis	C0018621	367498001	
802	demeclocycline	Gonorrhea	C0018081	15628003	DOID:7551
824	dexamethasone	Asthma	C0004096	195967001	DOID:2841
2715	tranylcypromine	Major depressive disorder	C1269683	370143000	
2656	ticarcillin	Salpingitis	C0036130	88157006	DOID:5733
2656	ticarcillin	Skin and Skin Structure Providencia Infection			
2656	ticarcillin	Staphylococcus Aureus Joint Infection			
2677	tiotropium bromide	Chronic bronchitis	C0008677	63480004	DOID:6132
2727	triamcinolone diacetate	Acquired thrombocytopenia	C0154301	74576004	DOID:11126
2728	triamterene	Hypertensive disorder	C0020538	38341003	DOID:10763
2743	trifluridine	Herpes simplex keratoconjunctivitis	C0276228	72321008	
2726	triamcinolone acetonide	Non-Hodgkin's lymphoma	C0024305	118601006	DOID:8675
2726	triamcinolone acetonide	Inflammatory bowel disease	C0021390	24526004	DOID:0050589
2726	triamcinolone acetonide	Giant cell arteritis	C0039483	414341000	DOID:13375
1261	fusidic acid	Osteomyelitis due to Staphylococcus aureus	C1997728	428783003	
1184	floxuridine	Malignant neoplasm of liver	C0345904	93870000	DOID:3571
1204	fluocinolone acetonide	Otitis Externa Eczema			
1286	gemifloxacin	Pneumonia due to Mycoplasma pneumoniae	C0032302	46970008	
1280	gatifloxacin	Bacterial urinary infection	C0729524	312124009	
4456	hydrocortisone succinate	Aspiration pneumonitis	C1761609	155597006	
4441	calcium phosphate	Pregnancy, function	C0032961	289908002	
4459	procaine benzylpenicillin	Late syphilis	C0153188	72083004	DOID:8200
4459	procaine benzylpenicillin	Pharyngitis	C0031350	405737000	DOID:2275
4485	diflorasone diacetate	Granuloma annulare	C0085074	65508009	DOID:3777
842	dextromethorphan	Mouth Irritation			
865	diclofenac	Rheumatoid Arthritis in Patient at High Ulcer Risk			
913	dinoprostone	Cervical ripening procedure	C0404328	236959001	
870	dienestrol	Dyspareunia	C1384606	71315007	
867	dicoumarol	Prevention of Cerebral Thrombosis			
2807	vancomycin	Bacterial endocarditis	C0014121	301183007	
2825	vincristine	Rhabdomyosarcoma	C0035412	302847003	DOID:3247
2825	vincristine	Nephroblastoma	C0027708	302849000	DOID:2154
2777	trovafloxacin	Peptostreptococcus Postpartum Infection			
2805	valrubicin	Malignant tumor of urinary bladder	C0005684	399326009	DOID:11054
1358	heparin	Prevention of Recurrent Venous Thrombosis Associated with Malignancy			
1380	methylhomatropine	Cough	C0010200	49727002	
